(-7, 2, 4), [1, 2, 0], 3.13.ab_f_ade 
(-5, -2, 6), [3, 2, 2], 3.13.ab_h_bi 
(-4, -3, 6), [0, 1, 2], 3.13.ab_j_bu 
(-6, 1, 4), [2, 1, 0], 3.13.ab_n_aby 
(-6, 2, 3), [2, 2, 3], 3.13.ab_p_ack 
(-4, -2, 5), [0, 2, 1], 3.13.ab_r_o 
(-5, 2, 2), [3, 2, 2], 3.13.ab_x_abu 
(-4, -1, 4), [0, 3, 0], 3.13.ab_x_ak 
(-3, -2, 4), [1, 2, 0], 3.13.ab_z_ac 
(-4, 1, 2), [0, 1, 2], 3.13.ab_bd_abi 
(-2, -2, 3), [2, 2, 3], 3.13.ab_bf_ao 
(-7, 1, 6), [1, 1, 2], 3.13.a_ae_abq 
(-6, -1, 7), [2, 3, 3], 3.13.a_ae_bq 
(-7, 2, 5), [1, 2, 1], 3.13.a_a_acs 
(-5, -2, 7), [3, 2, 3], 3.13.a_a_cs 
(-7, 3, 4), [1, 3, 0], 3.13.a_c_adg 
(-4, -3, 7), [0, 1, 3], 3.13.a_c_dg 
(-6, 1, 5), [2, 1, 1], 3.13.a_i_abe 
(-5, -1, 6), [3, 3, 2], 3.13.a_i_be 
(-6, 2, 4), [2, 2, 0], 3.13.a_l_abw 
(-4, -2, 6), [0, 2, 2], 3.13.a_l_bw 
(-6, 3, 3), [2, 3, 3], 3.13.a_m_acc 
(-3, -3, 6), [1, 1, 2], 3.13.a_m_cc 
(-5, 1, 4), [3, 1, 0], 3.13.a_s_au 
(-4, -1, 5), [0, 3, 1], 3.13.a_s_u 
(-5, 2, 3), [3, 2, 3], 3.13.a_u_abe 
(-3, -2, 5), [1, 2, 1], 3.13.a_u_be 
(-4, 1, 3), [0, 1, 3], 3.13.a_ba_am 
(-3, -1, 4), [1, 3, 0], 3.13.a_ba_m 
(-4, 2, 2), [0, 2, 2], 3.13.a_bb_aq 
(-2, -2, 4), [2, 2, 0], 3.13.a_bb_q 
(-3, 1, 2), [1, 1, 2], 3.13.a_bg_ag 
(-2, -1, 3), [2, 3, 3], 3.13.a_bg_g 
(-2, 1, 1), [2, 1, 1], 3.13.a_bk_ac 
(-1, -1, 2), [3, 3, 2], 3.13.a_bk_c 
(-7, 2, 6), [1, 2, 2], 3.13.b_af_acg 
(-7, 4, 4), [1, 0, 0], 3.13.b_ab_adi 
(-6, 1, 6), [2, 1, 2], 3.13.b_d_ak 
(-4, -2, 7), [0, 2, 3], 3.13.b_f_de 
