(-6, -5, 4), [13, 14, 4], 3.19.ah_br_afq 
(-8, -1, 2), [11, 18, 2], 3.19.ah_bv_ajq 
(-6, -4, 3), [13, 15, 3], 3.19.ah_bz_ahm 
(-7, -2, 2), [12, 17, 2], 3.19.ah_cb_aje 
(-6, -3, 2), [13, 16, 2], 3.19.ah_cf_aiw 
(-5, -4, 2), [14, 15, 2], 3.19.ah_ch_ais 
(-6, -2, 1), [13, 17, 1], 3.19.ah_cj_aju 
(-4, -4, 1), [15, 15, 1], 3.19.ah_cn_ajq 
(-8, -6, 8), [11, 13, 8], 3.19.ag_ah_ga 
(-7, -7, 8), [12, 12, 8], 3.19.ag_ag_gi 
(-8, -5, 7), [11, 14, 7], 3.19.ag_g_ca 
(-7, -6, 7), [12, 13, 7], 3.19.ag_i_co 
(-8, -4, 6), [11, 15, 6], 3.19.ag_r_abk 
(-7, -5, 6), [12, 14, 6], 3.19.ag_u_as 
(-6, -6, 6), [13, 13, 6], 3.19.ag_v_am 
(-8, -3, 5), [11, 16, 5], 3.19.ag_ba_aee 
(-7, -4, 5), [12, 15, 5], 3.19.ag_be_adk 
(-6, -5, 5), [13, 14, 5], 3.19.ag_bg_ada 
(-8, -2, 4), [11, 17, 4], 3.19.ag_bh_agi 
(-8, -1, 3), [11, 18, 3], 3.19.ag_bm_ahw 
(-7, -3, 4), [12, 16, 4], 3.19.ag_bm_afo 
(-6, -4, 4), [13, 15, 4], 3.19.ag_bp_afc 
(-8, 1, 1), [11, 1, 1], 3.19.ag_bq_ajc 
(-5, -5, 4), [14, 14, 4], 3.19.ag_bq_aey 
(-7, -2, 3), [12, 17, 3], 3.19.ag_bs_ahe 
(-7, -1, 2), [12, 18, 2], 3.19.ag_bw_aig 
(-6, -3, 3), [13, 16, 3], 3.19.ag_bw_ags 
(-5, -4, 3), [14, 15, 3], 3.19.ag_by_agm 
(-6, -2, 2), [13, 17, 2], 3.19.ag_cb_ahw 
(-6, -1, 1), [13, 18, 1], 3.19.ag_ce_aio 
(-5, -3, 2), [14, 16, 2], 3.19.ag_ce_ahq 
(-4, -4, 2), [15, 15, 2], 3.19.ag_cf_aho 
(-5, -2, 1), [14, 17, 1], 3.19.ag_ci_aik 
(-4, -3, 1), [15, 16, 1], 3.19.ag_ck_aii 
(-4, -1, -1), [15, 18, 18], 3.19.ag_co_aiy 
(-2, -2, -2), [17, 17, 17], 3.19.ag_cr_ajc 
(-8, -5, 8), [11, 14, 8], 3.19.af_ah_fa 
(-7, -6, 8), [12, 13, 8], 3.19.af_af_fq 
(-8, -4, 7), [11, 15, 7], 3.19.af_f_bi 
(-6, -6, 7), [13, 13, 7], 3.19.af_j_ck 
(-8, -3, 6), [11, 16, 6], 3.19.af_p_abu 
(-7, -4, 6), [12, 15, 6], 3.19.af_t_aw 
(-6, -5, 6), [13, 14, 6], 3.19.af_v_ak 
(-8, -2, 5), [11, 17, 5], 3.19.af_x_aeg 
(-8, -1, 4), [11, 18, 4], 3.19.af_bd_agc 
(-6, -4, 5), [13, 15, 5], 3.19.af_bf_acs 
(-8, 1, 2), [11, 1, 2], 3.19.af_bj_ahy 
(-7, -2, 4), [12, 17, 4], 3.19.af_bj_afe 
(-6, -3, 4), [13, 16, 4], 3.19.af_bn_aeo 
(-5, -4, 4), [14, 15, 4], 3.19.af_bp_aeg 
(-6, -2, 3), [13, 17, 3], 3.19.af_bt_afy 
(-6, -1, 2), [13, 18, 2], 3.19.af_bx_agw 
(-4, -4, 3), [15, 15, 3], 3.19.af_bx_afm 
(-5, -2, 2), [14, 17, 2], 3.19.af_cb_ago 
(-4, -3, 2), [15, 16, 2], 3.19.af_cd_agk 
(-4, -2, 1), [15, 17, 1], 3.19.af_ch_aha 
(-8, -4, 8), [11, 15, 8], 3.19.ae_ah_ea 
(-7, -5, 8), [12, 14, 8], 3.19.ae_ae_ey 
(-6, -6, 8), [13, 13, 8], 3.19.ae_ad_fg 
(-8, -3, 7), [11, 16, 7], 3.19.ae_e_q 
(-7, -4, 7), [12, 15, 7], 3.19.ae_i_bs 
(-6, -5, 7), [13, 14, 7], 3.19.ae_k_cg 
(-8, -2, 6), [11, 17, 6], 3.19.ae_n_ace 
(-7, -3, 6), [12, 16, 6], 3.19.ae_s_aba 
(-8, -1, 5), [11, 18, 5], 3.19.ae_u_aei 
(-6, -4, 6), [13, 15, 6], 3.19.ae_v_ai 
(-5, -5, 6), [14, 14, 6], 3.19.ae_w_ac 
(-7, -2, 5), [12, 17, 5], 3.19.ae_ba_ade 
(-8, 1, 3), [11, 1, 3], 3.19.ae_bc_agu 
(-8, 2, 2), [11, 2, 2], 3.19.ae_bd_ahc 
(-6, -3, 5), [13, 16, 5], 3.19.ae_be_ack 
(-7, -1, 4), [12, 18, 4], 3.19.ae_bg_aeu 
(-5, -4, 5), [14, 15, 5], 3.19.ae_bg_aca 
(-6, -2, 4), [13, 17, 4], 3.19.ae_bl_aea 
(-7, 1, 2), [12, 1, 2], 3.19.ae_bm_agk 
(-5, -3, 4), [14, 16, 4], 3.19.ae_bo_ado 
(-4, -4, 4), [15, 15, 4], 3.19.ae_bp_adk 
(-6, -1, 3), [13, 18, 3], 3.19.ae_bq_afe 
(-6, 1, 1), [13, 1, 1], 3.19.ae_bu_agc 
(-5, -2, 3), [14, 17, 3], 3.19.ae_bu_aes 
(-4, -3, 3), [15, 16, 3], 3.19.ae_bw_aem 
(-5, -1, 2), [14, 18, 2], 3.19.ae_by_afm 
(-4, -2, 2), [15, 17, 2], 3.19.ae_cb_afg 
(-3, -3, 2), [16, 16, 2], 3.19.ae_cc_afe 
(-4, -1, 1), [15, 18, 1], 3.19.ae_ce_afs 
(-3, -2, 1), [16, 17, 1], 3.19.ae_cg_afq 
(-8, -3, 8), [11, 16, 8], 3.19.ad_ah_da 
(-7, -4, 8), [12, 15, 8], 3.19.ad_ad_eg 
(-6, -5, 8), [13, 14, 8], 3.19.ad_ab_ew 
(-8, -2, 7), [11, 17, 7], 3.19.ad_d_ac 
(-8, -1, 6), [11, 18, 6], 3.19.ad_l_aco 
(-6, -4, 7), [13, 15, 7], 3.19.ad_l_cc 
(-7, -2, 6), [12, 17, 6], 3.19.ad_r_abe 
(-8, 1, 4), [11, 1, 4], 3.19.ad_v_afq 
(-6, -3, 6), [13, 16, 6], 3.19.ad_v_ag 
(-8, 2, 3), [11, 2, 3], 3.19.ad_x_agg 
(-5, -4, 6), [14, 15, 6], 3.19.ad_x_g 
(-6, -2, 5), [13, 17, 5], 3.19.ad_bd_acc 
(-7, 2, 2), [12, 2, 2], 3.19.ad_bh_afm 
(-4, -4, 5), [15, 15, 5], 3.19.ad_bh_abi 
(-6, -1, 4), [13, 18, 4], 3.19.ad_bj_adm 
(-5, -2, 4), [14, 17, 4], 3.19.ad_bn_acw 
(-6, 1, 2), [13, 1, 2], 3.19.ad_bp_aew 
(-4, -3, 4), [15, 16, 4], 3.19.ad_bp_aco 
(-4, -2, 3), [15, 17, 3], 3.19.ad_bv_adm 
(-4, -1, 2), [15, 18, 2], 3.19.ad_bz_aec 
(-3, -2, 2), [16, 17, 2], 3.19.ad_cb_ady 
(-8, -2, 8), [11, 17, 8], 3.19.ac_ah_ca 
(-7, -3, 8), [12, 16, 8], 3.19.ac_ac_do 
(-6, -4, 8), [13, 15, 8], 3.19.ac_b_em 
(-8, -1, 7), [11, 18, 7], 3.19.ac_c_au 
(-5, -5, 8), [14, 14, 8], 3.19.ac_c_eu 
(-7, -2, 7), [12, 17, 7], 3.19.ac_i_w 
(-6, -3, 7), [13, 16, 7], 3.19.ac_m_by 
(-8, 1, 5), [11, 1, 5], 3.19.ac_o_aem 
(-5, -4, 7), [14, 15, 7], 3.19.ac_o_cm 
(-7, -1, 6), [12, 18, 6], 3.19.ac_q_abi 
(-8, 2, 4), [11, 2, 4], 3.19.ac_r_afk 
(-8, 3, 3), [11, 3, 3], 3.19.ac_s_afs 
(-6, -2, 6), [13, 17, 6], 3.19.ac_v_ae 
(-5, -3, 6), [14, 16, 6], 3.19.ac_y_o 
(-4, -4, 6), [15, 15, 6], 3.19.ac_z_u 
(-7, 1, 4), [12, 1, 4], 3.19.ac_ba_aea 
(-7, 2, 3), [12, 2, 3], 3.19.ac_bc_aeo 
(-6, -1, 5), [13, 18, 5], 3.19.ac_bc_abu 
(-5, -2, 5), [14, 17, 5], 3.19.ac_bg_aba 
(-4, -3, 5), [15, 16, 5], 3.19.ac_bi_aq 
(-6, 1, 3), [13, 1, 3], 3.19.ac_bk_adq 
(-6, 2, 2), [13, 2, 2], 3.19.ac_bl_adw 
(-5, -1, 4), [14, 18, 4], 3.19.ac_bm_ace 
(-4, -2, 4), [15, 17, 4], 3.19.ac_bp_abs 
(-3, -3, 4), [16, 16, 4], 3.19.ac_bq_abo 
(-5, 1, 2), [14, 1, 2], 3.19.ac_bs_adi 
(-4, -1, 3), [15, 18, 3], 3.19.ac_bu_acm 
(-3, -2, 3), [16, 17, 3], 3.19.ac_bw_acg 
(-4, 1, 1), [15, 1, 1], 3.19.ac_by_adc 
(-3, -1, 2), [16, 18, 2], 3.19.ac_ca_acs 
(-2, -2, 2), [17, 17, 2], 3.19.ac_cb_acq 
(-2, -1, 1), [17, 18, 1], 3.19.ac_ce_acw 
(-8, -1, 8), [11, 18, 8], 3.19.ab_ah_ba 
(-7, -2, 8), [12, 17, 8], 3.19.ab_ab_cw 
(-6, -3, 8), [13, 16, 8], 3.19.ab_d_ec 
(-5, -4, 8), [14, 15, 8], 3.19.ab_f_es 
(-8, 1, 6), [11, 1, 6], 3.19.ab_h_adi 
(-8, 2, 5), [11, 2, 5], 3.19.ab_l_aeo 
(-8, 3, 4), [11, 3, 4], 3.19.ab_n_afe 
(-6, -2, 7), [13, 17, 7], 3.19.ab_n_bu 
(-4, -4, 7), [15, 15, 7], 3.19.ab_r_cw 
(-6, -1, 6), [13, 18, 6], 3.19.ab_v_ac 
(-7, 2, 4), [12, 2, 4], 3.19.ab_x_adq 
(-5, -2, 6), [14, 17, 6], 3.19.ab_z_w 
(-4, -3, 6), [15, 16, 6], 3.19.ab_bb_bi 
(-6, 1, 4), [13, 1, 4], 3.19.ab_bf_ack 
(-6, 2, 3), [13, 2, 3], 3.19.ab_bh_acw 
(-4, -2, 5), [15, 17, 5], 3.19.ab_bj_c 
(-5, 2, 2), [14, 2, 2], 3.19.ab_bp_acg 
(-4, -1, 4), [15, 18, 4], 3.19.ab_bp_aw 
(-3, -2, 4), [16, 17, 4], 3.19.ab_br_ao 
(-4, 1, 2), [15, 1, 2], 3.19.ab_bv_abu 
(-2, -2, 3), [17, 17, 3], 3.19.ab_bx_aba 
(-8, 1, 7), [11, 1, 7], 3.19.a_a_ace 
(-7, -1, 8), [12, 18, 8], 3.19.a_a_ce 
(-8, 2, 6), [11, 2, 6], 3.19.a_f_ads 
