(-9, -9, 8), [3, 3, 0], 3.23.ak_g_hg 
(-9, -8, 7), [3, 0, 3], 3.23.ak_w_bs 
(-9, -7, 6), [3, 1, 2], 3.23.ak_bk_ade 
(-8, -8, 6), [0, 0, 2], 3.23.ak_bl_acy 
(-9, -6, 5), [3, 2, 1], 3.23.ak_bw_ahi 
(-8, -7, 5), [0, 1, 1], 3.23.ak_by_agy 
(-9, -5, 4), [3, 3, 0], 3.23.ak_cg_aku 
(-8, -6, 4), [0, 2, 0], 3.23.ak_cj_aki 
(-7, -7, 4), [1, 1, 0], 3.23.ak_ck_ake 
(-9, -4, 3), [3, 0, 3], 3.23.ak_co_ano 
(-8, -5, 3), [0, 3, 3], 3.23.ak_cs_anc 
(-9, -3, 2), [3, 1, 2], 3.23.ak_cu_apq 
(-7, -6, 3), [1, 2, 3], 3.23.ak_cu_amw 
(-9, -2, 1), [3, 2, 1], 3.23.ak_cy_ara 
(-8, -4, 2), [0, 0, 2], 3.23.ak_cz_apg 
(-7, -5, 2), [1, 3, 2], 3.23.ak_dc_apa 
(-6, -6, 2), [2, 2, 2], 3.23.ak_dd_aoy 
(-8, -3, 1), [0, 1, 1], 3.23.ak_de_aqu 
(-8, -1, -1), [0, 3, 3], 3.23.ak_di_asa 
(-7, -4, 1), [1, 0, 1], 3.23.ak_di_aqq 
(-6, -5, 1), [2, 3, 1], 3.23.ak_dk_aqo 
(-7, -2, -1), [1, 2, 3], 3.23.ak_do_asg 
(-6, -3, -1), [2, 1, 3], 3.23.ak_ds_ask 
(-6, -2, -2), [2, 2, 2], 3.23.ak_dt_asq 
(-5, -4, -1), [3, 0, 3], 3.23.ak_du_asm 
(-5, -3, -2), [3, 1, 2], 3.23.ak_dw_asw 
(-9, -8, 8), [3, 0, 0], 3.23.aj_f_gg 
(-8, -8, 7), [0, 0, 3], 3.23.aj_v_bi 
(-9, -6, 6), [3, 2, 2], 3.23.aj_bh_adm 
(-8, -7, 6), [0, 1, 2], 3.23.aj_bj_ada 
(-8, -6, 5), [0, 2, 1], 3.23.aj_bv_ags 
(-9, -4, 4), [3, 0, 0], 3.23.aj_cb_akk 
(-8, -5, 4), [0, 3, 0], 3.23.aj_cf_aju 
(-7, -6, 4), [1, 2, 0], 3.23.aj_ch_ajm 
(-9, -2, 2), [3, 2, 2], 3.23.aj_cn_aoo 
(-8, -4, 3), [0, 0, 3], 3.23.aj_cn_amg 
(-6, -6, 3), [2, 2, 3], 3.23.aj_cr_alu 
(-8, -3, 2), [0, 1, 2], 3.23.aj_ct_aoc 
(-8, -2, 1), [0, 2, 1], 3.23.aj_cx_api 
(-7, -4, 2), [1, 0, 2], 3.23.aj_cx_anu 
(-6, -5, 2), [2, 3, 2], 3.23.aj_cz_anq 
(-6, -4, 1), [2, 0, 1], 3.23.aj_df_apa 
(-6, -2, -1), [2, 2, 3], 3.23.aj_dl_aqk 
(-9, -8, 9), [3, 0, 1], 3.23.ai_am_ku 
(-9, -7, 8), [3, 1, 0], 3.23.ai_e_fg 
(-8, -8, 8), [0, 0, 0], 3.23.ai_f_fo 
(-9, -6, 7), [3, 2, 3], 3.23.ai_s_k 
(-8, -7, 7), [0, 1, 3], 3.23.ai_u_y 
(-9, -5, 6), [3, 3, 2], 3.23.ai_be_adu 
(-8, -6, 6), [0, 2, 2], 3.23.ai_bh_adc 
(-7, -7, 6), [1, 1, 2], 3.23.ai_bi_acw 
(-9, -4, 5), [3, 0, 1], 3.23.ai_bo_ahg 
(-8, -5, 5), [0, 3, 1], 3.23.ai_bs_agm 
(-7, -6, 5), [1, 2, 1], 3.23.ai_bu_agc 
(-9, -3, 4), [3, 1, 0], 3.23.ai_bw_aka 
(-8, -4, 4), [0, 0, 0], 3.23.ai_cb_ajg 
(-9, -2, 3), [3, 2, 3], 3.23.ai_cc_amc 
(-7, -5, 4), [1, 3, 0], 3.23.ai_ce_aiu 
(-6, -6, 4), [2, 2, 0], 3.23.ai_cf_aiq 
(-9, -1, 2), [3, 3, 2], 3.23.ai_cg_anm 
(-8, -3, 3), [0, 1, 3], 3.23.ai_ci_alk 
(-7, -4, 3), [1, 0, 3], 3.23.ai_cm_aky 
(-8, -2, 2), [0, 2, 2], 3.23.ai_cn_amy 
(-6, -5, 3), [2, 3, 3], 3.23.ai_co_aks 
(-8, -1, 1), [0, 3, 1], 3.23.ai_cq_anw 
(-7, -3, 2), [1, 1, 2], 3.23.ai_cs_amo 
(-6, -4, 2), [2, 0, 2], 3.23.ai_cv_ami 
(-7, -2, 1), [1, 2, 1], 3.23.ai_cw_anq 
(-5, -5, 2), [3, 3, 2], 3.23.ai_cw_amg 
(-6, -3, 1), [2, 1, 1], 3.23.ai_da_anm 
(-5, -4, 1), [3, 0, 1], 3.23.ai_dc_ank 
(-6, -1, -1), [2, 3, 3], 3.23.ai_de_aok 
(-5, -2, -1), [3, 2, 3], 3.23.ai_di_aoo 
(-4, -3, -1), [0, 1, 3], 3.23.ai_dk_aoq 
(-4, -2, -2), [0, 2, 2], 3.23.ai_dl_aou 
(-8, -8, 9), [0, 0, 1], 3.23.ah_al_ju 
(-9, -6, 8), [3, 2, 0], 3.23.ah_d_eg 
(-8, -7, 8), [0, 1, 0], 3.23.ah_f_ew 
(-8, -6, 7), [0, 2, 3], 3.23.ah_t_o 
(-9, -4, 6), [3, 0, 2], 3.23.ah_bb_aec 
(-8, -5, 6), [0, 3, 2], 3.23.ah_bf_ade 
(-7, -6, 6), [1, 2, 2], 3.23.ah_bh_acs 
(-8, -4, 5), [0, 0, 1], 3.23.ah_bp_agg 
(-9, -2, 4), [3, 2, 0], 3.23.ah_br_ajq 
(-6, -6, 5), [2, 2, 1], 3.23.ah_bt_afm 
(-8, -3, 4), [0, 1, 0], 3.23.ah_bx_ais 
(-7, -4, 4), [1, 0, 0], 3.23.ah_cb_aic 
(-8, -2, 3), [0, 2, 3], 3.23.ah_cd_ako 
(-6, -5, 4), [2, 3, 0], 3.23.ah_cd_ahu 
(-8, -1, 2), [0, 3, 2], 3.23.ah_ch_alu 
(-6, -4, 3), [2, 0, 3], 3.23.ah_cl_ajq 
(-7, -2, 2), [1, 2, 2], 3.23.ah_cn_ali 
(-6, -3, 2), [2, 1, 2], 3.23.ah_cr_ala 
(-5, -4, 2), [3, 0, 2], 3.23.ah_ct_akw 
(-6, -2, 1), [2, 2, 1], 3.23.ah_cv_aly 
(-4, -4, 1), [0, 0, 1], 3.23.ah_cz_alu 
(-9, -6, 9), [3, 2, 1], 3.23.ag_am_ic 
(-8, -7, 9), [0, 1, 1], 3.23.ag_ak_iu 
(-9, -5, 8), [3, 3, 0], 3.23.ag_c_dg 
