(-6, -6, 8), [2, 2, 0], 3.17.ae_aj_fw 
(-8, -3, 7), [0, 1, 3], 3.17.ae_ac_bg 
(-7, -4, 7), [1, 0, 3], 3.17.ae_c_ci 
(-6, -5, 7), [2, 3, 3], 3.17.ae_e_cw 
(-8, -2, 6), [0, 2, 2], 3.17.ae_h_abo 
(-7, -3, 6), [1, 1, 2], 3.17.ae_m_ak 
(-8, -1, 5), [0, 3, 1], 3.17.ae_o_ads 
(-6, -4, 6), [2, 0, 2], 3.17.ae_p_i 
(-5, -5, 6), [3, 3, 2], 3.17.ae_q_o 
(-7, -2, 5), [1, 2, 1], 3.17.ae_u_aco 
(-8, 1, 3), [0, 1, 3], 3.17.ae_w_age 
(-8, 2, 2), [0, 2, 2], 3.17.ae_x_agm 
(-6, -3, 5), [2, 1, 1], 3.17.ae_y_abu 
(-7, -1, 4), [1, 3, 0], 3.17.ae_ba_aee 
(-5, -4, 5), [3, 0, 1], 3.17.ae_ba_abk 
(-6, -2, 4), [2, 2, 0], 3.17.ae_bf_adk 
(-7, 1, 2), [1, 1, 2], 3.17.ae_bg_afu 
(-5, -3, 4), [3, 1, 0], 3.17.ae_bi_acy 
(-4, -4, 4), [0, 0, 0], 3.17.ae_bj_acu 
(-6, -1, 3), [2, 3, 3], 3.17.ae_bk_aeo 
(-6, 1, 1), [2, 1, 1], 3.17.ae_bo_afm 
(-5, -2, 3), [3, 2, 3], 3.17.ae_bo_aec 
(-4, -3, 3), [0, 1, 3], 3.17.ae_bq_adw 
(-5, -1, 2), [3, 3, 2], 3.17.ae_bs_aew 
(-4, -2, 2), [0, 2, 2], 3.17.ae_bv_aeq 
(-3, -3, 2), [1, 1, 2], 3.17.ae_bw_aeo 
(-4, -1, 1), [0, 3, 1], 3.17.ae_by_afc 
(-3, -2, 1), [1, 2, 1], 3.17.ae_ca_afa 
(-8, -3, 8), [0, 1, 0], 3.17.ad_an_dm 
(-7, -4, 8), [1, 0, 0], 3.17.ad_aj_es 
(-6, -5, 8), [2, 3, 0], 3.17.ad_ah_fi 
(-8, -2, 7), [0, 2, 3], 3.17.ad_ad_k 
(-8, -1, 6), [0, 3, 2], 3.17.ad_f_acc 
(-6, -4, 7), [2, 0, 3], 3.17.ad_f_co 
(-7, -2, 6), [1, 2, 2], 3.17.ad_l_as 
(-8, 1, 4), [0, 1, 0], 3.17.ad_p_afe 
(-6, -3, 6), [2, 1, 2], 3.17.ad_p_g 
(-8, 2, 3), [0, 2, 3], 3.17.ad_r_afu 
(-5, -4, 6), [3, 0, 2], 3.17.ad_r_s 
(-6, -2, 5), [2, 2, 1], 3.17.ad_x_abq 
