(-7, 1, 7), [10, 1, 7], 3.17.b_c_ap 
(-7, 3, 5), [10, 3, 5], 3.17.b_k_act 
(-5, -1, 7), [12, 16, 7], 3.17.b_o_cr 
(-3, -3, 7), [14, 14, 7], 3.17.b_s_dt 
(-5, 1, 5), [12, 1, 5], 3.17.b_ba_j 
(-5, 3, 3), [12, 3, 3], 3.17.b_be_al 
(-3, -1, 5), [14, 16, 5], 3.17.b_bi_bx 
(-3, 1, 3), [14, 1, 3], 3.17.b_bq_z 
(-1, -1, 3), [16, 16, 3], 3.17.b_bu_bl 
(-2, 1, 2), [15, 1, 2], 3.17.b_bv_be 
(-1, 1, 1), [16, 1, 1], 3.17.b_by_bh 
(-7, 3, 7), [10, 3, 7], 3.17.d_c_abt 
(-7, 5, 5), [10, 5, 5], 3.17.d_g_acv 
(-5, 1, 7), [12, 1, 7], 3.17.d_s_cp 
(-5, 3, 5), [12, 3, 5], 3.17.d_ba_bb 
(-3, -1, 7), [14, 16, 7], 3.17.d_ba_et 
(-3, 1, 5), [14, 1, 5], 3.17.d_bm_dj 
(-3, 3, 3), [14, 3, 3], 3.17.d_bq_cx 
(-1, -1, 5), [16, 16, 5], 3.17.d_bq_ed 
(-1, 1, 3), [16, 1, 3], 3.17.d_by_dv 
(-1, 2, 2), [16, 2, 2], 3.17.d_bz_du 
(1, 1, 1), [1, 1, 1], 3.17.d_cc_dz 
(1, 1, 2), [1, 1, 2], 3.17.e_ce_fi 
(-7, 5, 7), [10, 5, 7], 3.17.f_c_acx 
(-5, 3, 7), [12, 3, 7], 3.17.f_w_cn 
(-5, 5, 5), [12, 5, 5], 3.17.f_ba_bt 
(-3, 1, 7), [14, 1, 7], 3.17.f_bi_ft 
(-1, -1, 7), [16, 16, 7], 3.17.f_bm_gv 
(-3, 3, 5), [14, 3, 5], 3.17.f_bq_ev 
(-1, 1, 5), [16, 1, 5], 3.17.f_by_gj 
(-1, 3, 3), [16, 3, 3], 3.17.f_cc_gf 
(1, 1, 3), [1, 1, 3], 3.17.f_cg_gr 
(1, 2, 2), [1, 2, 2], 3.17.f_ch_gs 
(1, 2, 3), [1, 2, 3], 3.17.g_ck_ic 
(-8, 7, 8), [9, 7, 8], 3.17.h_an_aic 
(-7, 7, 7), [10, 7, 7], 3.17.h_c_aeb 
(-5, 5, 7), [12, 5, 7], 3.17.h_ba_cl 
(-3, 3, 7), [14, 3, 7], 3.17.h_bq_gt 
(-3, 5, 5), [14, 5, 5], 3.17.h_bu_gh 
(-1, 1, 7), [16, 1, 7], 3.17.h_by_ix 
(-1, 3, 5), [16, 3, 5], 3.17.h_cg_ip 
(1, 1, 5), [1, 1, 5], 3.17.h_ck_jj 
(1, 2, 4), [1, 2, 4], 3.17.h_cn_jm 
(1, 3, 3), [1, 3, 3], 3.17.h_co_jn 
(2, 2, 3), [2, 2, 3], 3.17.h_cp_jq 
(2, 2, 4), [2, 2, 4], 3.17.i_ct_lc 
(2, 3, 3), [2, 3, 3], 3.17.i_cu_le 
(-7, 8, 8), [10, 8, 8], 3.17.j_d_afm 
(-5, 7, 7), [12, 7, 7], 3.17.j_be_cj 
(-3, 5, 7), [14, 5, 7], 3.17.j_by_ht 
(-1, 3, 7), [16, 3, 7], 3.17.j_ck_kz 
(-1, 5, 5), [16, 5, 5], 3.17.j_co_kv 
(1, 1, 7), [1, 1, 7], 3.17.j_co_mb 
(1, 3, 5), [1, 3, 5], 3.17.j_cw_mj 
(1, 4, 4), [1, 4, 4], 3.17.j_cx_mk 
(2, 2, 5), [2, 2, 5], 3.17.j_cx_mo 
(2, 3, 4), [2, 3, 4], 3.17.j_cz_ms 
(3, 3, 3), [3, 3, 3], 3.17.j_da_mv 
(1, 4, 5), [1, 4, 5], 3.17.k_dc_nw 
(3, 3, 4), [3, 3, 4], 3.17.k_dg_om 
(-5, 8, 8), [12, 8, 8], 3.17.l_bj_cc 
(-3, 7, 7), [14, 7, 7], 3.17.l_cg_it 
(-1, 5, 7), [16, 5, 7], 3.17.l_cw_nb 
(1, 3, 7), [1, 3, 7], 3.17.l_de_pf 
(1, 5, 5), [1, 5, 5], 3.17.l_di_pj 
(2, 3, 6), [2, 3, 6], 3.17.l_dj_pu 
(2, 4, 5), [2, 4, 5], 3.17.l_dl_py 
(3, 3, 5), [3, 3, 5], 3.17.l_dm_qd 
(3, 4, 4), [3, 4, 4], 3.17.l_dn_qg 
(3, 4, 5), [3, 4, 5], 3.17.m_du_sa 
(-1, 7, 7), [16, 7, 7], 3.17.n_di_pd 
(1, 5, 7), [1, 5, 7], 3.17.n_du_sj 
(3, 3, 7), [3, 3, 7], 3.17.n_dy_tl 
(2, 5, 6), [2, 5, 6], 3.17.n_dz_ti 
(3, 4, 6), [3, 4, 6], 3.17.n_eb_tu 
(3, 5, 5), [3, 5, 5], 3.17.n_ec_tx 
(4, 4, 5), [4, 4, 5], 3.17.n_ed_uc 
(4, 5, 5), [4, 5, 5], 3.17.o_em_we 
(-1, 8, 8), [16, 8, 8], 3.17.p_dv_re 
(1, 7, 7), [1, 7, 7], 3.17.p_ek_vn 
(2, 6, 7), [2, 6, 7], 3.17.p_ep_ww 
(3, 5, 7), [3, 5, 7], 3.17.p_es_xr 
(3, 6, 6), [3, 6, 6], 3.17.p_et_xu 
(4, 4, 7), [4, 4, 7], 3.17.p_et_xy 
(4, 5, 6), [4, 5, 6], 3.17.p_ev_yg 
(5, 5, 5), [5, 5, 5], 3.17.p_ew_yl 
(4, 5, 7), [4, 5, 7], 3.17.q_fe_bai 
(4, 6, 6), [4, 6, 6], 3.17.q_ff_bam 
(5, 5, 6), [5, 5, 6], 3.17.q_fg_bas 
