(-9, -8, 63), [16, 17, 13], 3.25.ar_ge_ablf 
(-4, -13, 84), [21, 12, 9], 3.25.ar_gf_ably 
(-7, -10, 67), [18, 15, 17], 3.25.ar_gg_ablh 
(-7, -10, 68), [18, 15, 18], 3.25.ar_gh_ablo 
(-4, -13, 87), [21, 12, 12], 3.25.ar_gi_abmk 
(-3, -14, 97), [22, 11, 22], 3.25.ar_gi_abmd 
(-7, -10, 69), [18, 15, 19], 3.25.ar_gi_ablv 
(-4, -13, 88), [21, 12, 13], 3.25.ar_gj_abmo 
(-4, -13, 89), [21, 12, 14], 3.25.ar_gk_abms 
(-6, -11, 76), [19, 14, 1], 3.25.ar_gl_abms 
(-7, -10, 72), [18, 15, 22], 3.25.ar_gl_abmq 
(-6, -11, 77), [19, 14, 2], 3.25.ar_gm_abmy 
(-7, -10, 73), [18, 15, 23], 3.25.ar_gm_abmx 
(-6, -11, 79), [19, 14, 4], 3.25.ar_go_abnk 
(-9, -7, 21), [16, 18, 21], 3.25.aq_ef_aut 
(-9, -7, 22), [16, 18, 22], 3.25.aq_eg_avc 
(-9, -7, 26), [16, 18, 1], 3.25.aq_ek_awm 
(-9, -7, 27), [16, 18, 2], 3.25.aq_el_awv 
(-9, -7, 29), [16, 18, 4], 3.25.aq_en_axn 
(-9, -7, 31), [16, 18, 6], 3.25.aq_ep_ayf 
(-8, -8, 31), [17, 17, 6], 3.25.aq_eq_ayy 
(-9, -7, 33), [16, 18, 8], 3.25.aq_er_ayx 
(-9, -7, 34), [16, 18, 9], 3.25.aq_es_azg 
(-8, -8, 49), [17, 17, 24], 3.25.aq_fi_abem 
(-8, -8, 51), [17, 17, 1], 3.25.aq_fk_abfc 
(-3, -13, 81), [22, 12, 6], 3.25.aq_fp_abij 
(-3, -13, 82), [22, 12, 7], 3.25.aq_fq_abim 
(-3, -13, 83), [22, 12, 8], 3.25.aq_fr_abip 
(-7, -9, 61), [18, 16, 11], 3.25.aq_ft_abht 
(-7, -9, 63), [18, 16, 13], 3.25.aq_fv_abih 
(-4, -12, 79), [21, 13, 4], 3.25.aq_fw_abjg 
(-4, -12, 81), [21, 13, 6], 3.25.aq_fy_abjo 
(-3, -13, 91), [22, 12, 16], 3.25.aq_fz_abjn 
(-7, -9, 67), [18, 16, 17], 3.25.aq_fz_abjj 
(-4, -12, 83), [21, 13, 8], 3.25.aq_ga_abjw 
(-6, -10, 72), [19, 15, 22], 3.25.aq_gb_abjw 
(-6, -10, 73), [19, 15, 23], 3.25.aq_gc_abkc 
(-9, -6, 11), [16, 19, 11], 3.25.ap_dm_apj 
(-9, -6, 13), [16, 19, 13], 3.25.ap_do_aqb 
(-9, -6, 16), [16, 19, 16], 3.25.ap_dr_arc 
(-9, -6, 17), [16, 19, 17], 3.25.ap_ds_arl 
(-9, -6, 19), [16, 19, 19], 3.25.ap_du_asd 
(-9, -6, 21), [16, 19, 21], 3.25.ap_dw_asv 
(-9, -6, 22), [16, 19, 22], 3.25.ap_dx_ate 
(-9, -6, 24), [16, 19, 24], 3.25.ap_dz_atw 
(-9, -6, 26), [16, 19, 1], 3.25.ap_eb_auo 
(-9, -6, 27), [16, 19, 2], 3.25.ap_ec_aux 
(-9, -6, 29), [16, 19, 4], 3.25.ap_ee_avp 
(-9, -6, 31), [16, 19, 6], 3.25.ap_eg_awh 
(-7, -8, 31), [18, 17, 6], 3.25.ap_ei_axt 
(-9, -6, 33), [16, 19, 8], 3.25.ap_ei_awz 
(-7, -8, 33), [18, 17, 8], 3.25.ap_ek_ayh 
(-9, -6, 37), [16, 19, 12], 3.25.ap_em_ayj 
(-7, -8, 37), [18, 17, 12], 3.25.ap_eo_azj 
(-9, -6, 39), [16, 19, 14], 3.25.ap_eo_azb 
(1, -16, 111), [1, 9, 11], 3.25.ap_eq_aban 
(-7, -8, 39), [18, 17, 14], 3.25.ap_eq_azx 
(-9, -6, 41), [16, 19, 16], 3.25.ap_eq_azt 
(-8, -7, 39), [17, 18, 14], 3.25.ap_eq_azm 
(-8, -7, 41), [17, 18, 16], 3.25.ap_es_abac 
(-7, -8, 43), [18, 17, 18], 3.25.ap_eu_abaz 
(-8, -7, 43), [17, 18, 18], 3.25.ap_eu_abas 
(-8, -7, 44), [17, 18, 19], 3.25.ap_ev_abba 
(-9, -6, 47), [16, 19, 22], 3.25.ap_ew_abbv 
(-9, -6, 49), [16, 19, 24], 3.25.ap_ey_abcn 
(-7, -8, 47), [18, 17, 22], 3.25.ap_ey_abcb 
(-1, -14, 91), [24, 11, 16], 3.25.ap_fa_abel 
(-9, -6, 51), [16, 19, 1], 3.25.ap_fa_abdf 
(-7, -8, 49), [18, 17, 24], 3.25.ap_fa_abcp 
(-3, -12, 71), [22, 13, 21], 3.25.ap_fc_abfh 
(-1, -14, 93), [24, 11, 18], 3.25.ap_fc_aben 
(-9, -6, 53), [16, 19, 3], 3.25.ap_fc_abdx 
(-7, -8, 51), [18, 17, 1], 3.25.ap_fc_abdd 
(-3, -12, 72), [22, 13, 22], 3.25.ap_fd_abfk 
