(1, 2, 7), [1, 2, 3], 3.9.d_s_br 
(-1, 4, 14), [3, 0, 2], 3.9.d_t_cg 
(-1, 4, 16), [3, 0, 0], 3.9.d_v_ce 
(1, 2, 11), [1, 2, 3], 3.9.d_w_bv 
(-1, 4, 17), [3, 0, 1], 3.9.d_w_cd 
(2, 1, 13), [2, 1, 1], 3.9.d_y_bs 
(1, 2, 13), [1, 2, 1], 3.9.d_y_bx 
(-1, 4, 19), [3, 0, 3], 3.9.d_y_cb 
(2, 1, 14), [2, 1, 2], 3.9.d_z_bu 
(1, 2, 16), [1, 2, 0], 3.9.d_bb_ca 
(2, 1, 17), [2, 1, 1], 3.9.d_bc_ca 
(1, 2, 17), [1, 2, 1], 3.9.d_bc_cb 
(4, 0, -17), [0, 0, 3], 3.9.e_ai_acq 
(5, -1, -11), [1, 3, 1], 3.9.e_ah_acv 
(4, 0, -16), [0, 0, 0], 3.9.e_ah_acm 
(5, -1, -10), [1, 3, 2], 3.9.e_ag_acq 
(5, -1, -7), [1, 3, 1], 3.9.e_ad_acb 
(5, -1, -5), [1, 3, 3], 3.9.e_ab_abr 
(4, 0, -1), [0, 0, 3], 3.9.e_i_ae 
(4, 0, 1), [0, 0, 1], 3.9.e_k_e 
(-1, 5, 13), [3, 1, 1], 3.9.e_r_cz 
(1, 3, 17), [1, 3, 1], 3.9.e_bd_ct 
(2, 2, 17), [2, 2, 1], 3.9.e_be_cs 
(1, 3, 19), [1, 3, 3], 3.9.e_bf_cv 
(5, 0, -17), [1, 0, 3], 3.9.f_ai_adh 
(5, 0, -16), [1, 0, 0], 3.9.f_ah_adc 
(5, 0, -13), [1, 0, 3], 3.9.f_ae_acn 
(5, 0, -11), [1, 0, 1], 3.9.f_ac_acd 
(5, 0, -10), [1, 0, 2], 3.9.f_ab_aby 
(5, 0, -8), [1, 0, 0], 3.9.f_b_abo 
(5, 0, -5), [1, 0, 3], 3.9.f_e_az 
(5, 0, -4), [1, 0, 0], 3.9.f_f_au 
(5, 0, -1), [1, 0, 3], 3.9.f_i_af 
(5, 0, 1), [1, 0, 1], 3.9.f_k_f 
(5, 0, 5), [1, 0, 1], 3.9.f_o_z 
(5, 0, 7), [1, 0, 3], 3.9.f_q_bj 
(4, 1, 4), [0, 1, 0], 3.9.f_r_bi 
(4, 1, 5), [0, 1, 1], 3.9.f_s_bm 
(4, 1, 7), [0, 1, 3], 3.9.f_u_bu 
(5, 0, 11), [1, 0, 3], 3.9.f_u_cd 
(1, 4, 7), [1, 0, 3], 3.9.f_u_db 
(4, 1, 8), [0, 1, 0], 3.9.f_v_by 
(5, 0, 13), [1, 0, 1], 3.9.f_w_cn 
(-1, 6, 19), [3, 2, 3], 3.9.f_w_dl 
(4, 1, 11), [0, 1, 3], 3.9.f_y_ck 
(1, 4, 11), [1, 0, 3], 3.9.f_y_df 
(-1, 6, 25), [3, 2, 1], 3.9.f_bc_df 
(1, 4, 17), [1, 0, 1], 3.9.f_be_dl 
(2, 3, 17), [2, 3, 1], 3.9.f_bg_dk 
(1, 4, 19), [1, 0, 3], 3.9.f_bg_dn 
(1, 4, 20), [1, 0, 0], 3.9.f_bh_do 
(2, 3, 19), [2, 3, 3], 3.9.f_bi_do 
(5, 1, -11), [1, 1, 1], 3.9.g_d_abl 
(5, 1, -7), [1, 1, 1], 3.9.g_h_ar 
(5, 1, -5), [1, 1, 3], 3.9.g_j_ah 
(5, 1, -1), [1, 1, 3], 3.9.g_n_n 
(5, 1, 1), [1, 1, 1], 3.9.g_p_x 
(4, 2, 11), [0, 2, 3], 3.9.g_bc_dc 
(4, 2, 13), [0, 2, 1], 3.9.g_be_dk 
(1, 5, 19), [1, 1, 3], 3.9.g_bh_ef 
(4, 2, 17), [0, 2, 1], 3.9.g_bi_ea 
(1, 5, 23), [1, 1, 3], 3.9.g_bl_ej 
(5, 2, -5), [1, 2, 3], 3.9.h_o_l 
(5, 2, -4), [1, 2, 0], 3.9.h_p_q 
(5, 2, -1), [1, 2, 3], 3.9.h_s_bf 
(5, 2, 1), [1, 2, 1], 3.9.h_u_bp 
(5, 2, 2), [1, 2, 2], 3.9.h_v_bu 
(5, 2, 4), [1, 2, 0], 3.9.h_x_ce 
(5, 2, 5), [1, 2, 1], 3.9.h_y_cj 
(5, 2, 7), [1, 2, 3], 3.9.h_ba_ct 
(5, 2, 11), [1, 2, 3], 3.9.h_be_dn 
(4, 3, 11), [0, 3, 3], 3.9.h_bg_du 
(5, 2, 13), [1, 2, 1], 3.9.h_bg_dx 
(-1, 8, 31), [3, 0, 3], 3.9.h_bg_ej 
(4, 3, 13), [0, 3, 1], 3.9.h_bi_ec 
(1, 6, 19), [1, 2, 3], 3.9.h_bi_ex 
(1, 6, 20), [1, 2, 0], 3.9.h_bj_ey 
(5, 2, 17), [1, 2, 1], 3.9.h_bk_er 
(4, 3, 16), [0, 3, 0], 3.9.h_bl_eo 
(1, 6, 22), [1, 2, 2], 3.9.h_bl_fa 
(4, 3, 17), [0, 3, 1], 3.9.h_bm_es 
(1, 6, 25), [1, 2, 1], 3.9.h_bo_fd 
