(-3, 4, 12), [1, 0, 0], 3.5.b_f_e 
(-2, 3, 7), [2, 3, 3], 3.5.b_g_q 
(1, 0, 2), [1, 0, 2], 3.5.b_h_c 
(3, -2, 8), [3, 2, 0], 3.5.b_h_e 
(-2, 3, 8), [2, 3, 0], 3.5.b_h_o 
(1, 0, 4), [1, 0, 0], 3.5.b_j_e 
(-2, 3, 11), [2, 3, 3], 3.5.b_k_i 
(2, 0, -9), [2, 0, 3], 3.5.c_ae_as 
(2, 0, -8), [2, 0, 0], 3.5.c_ad_aq 
(3, -1, -4), [3, 3, 0], 3.5.c_ac_aw 
(4, -2, 1), [0, 2, 1], 3.5.c_ac_aq 
(2, 0, -7), [2, 0, 1], 3.5.c_ac_ao 
(4, -2, 3), [0, 2, 3], 3.5.c_a_ai 
(2, 0, -4), [2, 0, 0], 3.5.c_b_ai 
(4, -2, 4), [0, 2, 0], 3.5.c_b_ae 
(2, 0, -3), [2, 0, 1], 3.5.c_c_ag 
(1, 1, -4), [1, 1, 0], 3.5.c_c_g 
(2, 0, -2), [2, 0, 2], 3.5.c_d_ae 
(4, -2, 6), [0, 2, 2], 3.5.c_d_e 
(1, 1, -3), [1, 1, 1], 3.5.c_d_h 
(-3, 5, 13), [1, 1, 1], 3.5.c_d_l 
(3, -1, 2), [3, 3, 2], 3.5.c_e_ae 
(3, -1, 3), [3, 3, 3], 3.5.c_f_ab 
(1, 1, -1), [1, 1, 3], 3.5.c_f_j 
(4, -2, 8), [0, 2, 0], 3.5.c_f_m 
(-2, 4, 8), [2, 0, 0], 3.5.c_f_y 
(4, -2, 9), [0, 2, 1], 3.5.c_g_q 
(-2, 4, 9), [2, 0, 1], 3.5.c_g_w 
(-1, 3, 4), [3, 3, 0], 3.5.c_g_ba 
(2, 0, 2), [2, 0, 2], 3.5.c_h_e 
(1, 1, 1), [1, 1, 1], 3.5.c_h_l 
(2, 0, 3), [2, 0, 3], 3.5.c_i_g 
(3, -1, 6), [3, 3, 2], 3.5.c_i_i 
(1, 1, 2), [1, 1, 2], 3.5.c_i_m 
(-2, 4, 11), [2, 0, 3], 3.5.c_i_s 
(2, 0, 4), [2, 0, 0], 3.5.c_j_i 
(3, -1, 7), [3, 3, 3], 3.5.c_j_l 
(1, 1, 3), [1, 1, 3], 3.5.c_j_n 
(-2, 4, 12), [2, 0, 0], 3.5.c_j_q 
(-1, 3, 8), [3, 3, 0], 3.5.c_k_w 
(1, 1, 6), [1, 1, 2], 3.5.c_m_q 
(2, 0, 8), [2, 0, 0], 3.5.c_n_q 
(4, -1, -3), [0, 3, 1], 3.5.d_ac_aw 
(3, 0, -4), [3, 0, 0], 3.5.d_b_am 
(4, -1, 1), [0, 3, 1], 3.5.d_c_ag 
(4, -1, 2), [0, 3, 2], 3.5.d_d_ac 
(2, 1, -4), [2, 1, 0], 3.5.d_d_c 
(4, -1, 3), [0, 3, 3], 3.5.d_e_c 
(2, 1, -3), [2, 1, 1], 3.5.d_e_e 
(2, 1, -1), [2, 1, 3], 3.5.d_g_i 
