(-9, -8, 35), [3, 0, 3], 3.23.ar_fa_abah 
(-9, -8, 36), [3, 0, 0], 3.23.ar_fb_abaq 
(-9, -8, 38), [3, 0, 2], 3.23.ar_fd_abbi 
(-9, -8, 39), [3, 0, 3], 3.23.ar_fe_abbr 
(-9, -8, 40), [3, 0, 0], 3.23.ar_ff_abca 
(-9, -8, 41), [3, 0, 1], 3.23.ar_fg_abcj 
(-9, -8, 43), [3, 0, 3], 3.23.ar_fi_abdb 
(-9, -8, 45), [3, 0, 1], 3.23.ar_fk_abdt 
(-9, -8, 47), [3, 0, 3], 3.23.ar_fm_abel 
(-7, -10, 50), [1, 2, 2], 3.23.ar_fn_abfe 
(-7, -10, 51), [1, 2, 3], 3.23.ar_fo_abfl 
(-9, -8, 49), [3, 0, 1], 3.23.ar_fo_abfd 
(-8, -9, 50), [0, 3, 2], 3.23.ar_fp_abfi 
(-7, -10, 53), [1, 2, 1], 3.23.ar_fq_abfz 
(-9, -8, 51), [3, 0, 3], 3.23.ar_fq_abfv 
(-8, -9, 51), [0, 3, 3], 3.23.ar_fq_abfq 
(-8, -9, 52), [0, 3, 0], 3.23.ar_fr_abfy 
(-8, -9, 53), [0, 3, 1], 3.23.ar_fs_abgg 
(-9, -8, 55), [3, 0, 3], 3.23.ar_fu_abhf 
(-7, -10, 57), [1, 2, 1], 3.23.ar_fu_abhb 
(-8, -9, 55), [0, 3, 3], 3.23.ar_fu_abgw 
(-8, -9, 56), [0, 3, 0], 3.23.ar_fv_abhe 
(-9, -8, 57), [3, 0, 1], 3.23.ar_fw_abhx 
(-7, -10, 59), [1, 2, 3], 3.23.ar_fw_abhp 
(-8, -9, 57), [0, 3, 1], 3.23.ar_fw_abhm 
(-7, -10, 60), [1, 2, 0], 3.23.ar_fx_abhw 
(-4, -13, 79), [0, 3, 3], 3.23.ar_fy_abje 
(-3, -14, 89), [1, 2, 1], 3.23.ar_fy_abjb 
(-5, -12, 71), [3, 0, 3], 3.23.ar_fy_abix 
(-9, -8, 59), [3, 0, 3], 3.23.ar_fy_abip 
(-7, -10, 61), [1, 2, 1], 3.23.ar_fy_abid 
(-4, -13, 80), [0, 3, 0], 3.23.ar_fz_abji 
(-5, -12, 72), [3, 0, 0], 3.23.ar_fz_abjc 
(-4, -13, 81), [0, 3, 1], 3.23.ar_ga_abjm 
(-6, -11, 67), [2, 1, 3], 3.23.ar_ga_abiy 
(-7, -10, 63), [1, 2, 3], 3.23.ar_ga_abir 
(-7, -10, 64), [1, 2, 0], 3.23.ar_gb_abiy 
(-4, -13, 83), [0, 3, 3], 3.23.ar_gc_abju 
(-5, -12, 75), [3, 0, 3], 3.23.ar_gc_abjr 
(-3, -14, 93), [1, 2, 1], 3.23.ar_gc_abjn 
(-7, -10, 65), [1, 2, 1], 3.23.ar_gc_abjf 
(-4, -13, 84), [0, 3, 0], 3.23.ar_gd_abjy 
(-7, -10, 66), [1, 2, 2], 3.23.ar_gd_abjm 
(-4, -13, 85), [0, 3, 1], 3.23.ar_ge_abkc 
(-5, -12, 77), [3, 0, 1], 3.23.ar_ge_abkb 
(-7, -10, 68), [1, 2, 0], 3.23.ar_gf_abka 
(-5, -12, 79), [3, 0, 3], 3.23.ar_gg_abkl 
(-6, -11, 73), [2, 1, 1], 3.23.ar_gg_abki 
(-5, -12, 80), [3, 0, 0], 3.23.ar_gh_abkq 
(-6, -11, 75), [2, 1, 3], 3.23.ar_gi_abku 
(-9, -7, 25), [3, 1, 1], 3.23.aq_eh_avb 
(-9, -7, 27), [3, 1, 3], 3.23.aq_ej_avt 
(-9, -7, 29), [3, 1, 1], 3.23.aq_el_awl 
(-9, -7, 31), [3, 1, 3], 3.23.aq_en_axd 
(-8, -8, 45), [0, 0, 1], 3.23.aq_fc_abca 
(-7, -9, 47), [1, 3, 3], 3.23.aq_fd_abcp 
(-8, -8, 47), [0, 0, 3], 3.23.aq_fe_abcq 
(-5, -11, 60), [3, 1, 0], 3.23.aq_fi_abfa 
