(-6, 0, -17), [2, 0, 3], 3.11.ag_ag_dy 
(-6, 0, -16), [2, 0, 0], 3.11.ag_af_ds 
(-6, 0, -15), [2, 0, 1], 3.11.ag_ae_dm 
(-6, 0, -13), [2, 0, 3], 3.11.ag_ac_da 
(-6, 0, -12), [2, 0, 0], 3.11.ag_ab_cu 
(-5, -1, -3), [3, 3, 1], 3.11.ag_n_ah 
(-5, -1, -1), [3, 3, 3], 3.11.ag_p_ar 
(-5, -1, 1), [3, 3, 1], 3.11.ag_r_abb 
(-5, -1, 3), [3, 3, 3], 3.11.ag_t_abl 
(-5, -1, 5), [3, 3, 1], 3.11.ag_v_abv 
(-4, -2, 13), [0, 2, 1], 3.11.ag_bg_ads 
(-4, -2, 15), [0, 2, 3], 3.11.ag_bi_aea 
(-1, -5, 20), [3, 3, 0], 3.11.ag_bk_afa 
(-1, -5, 21), [3, 3, 1], 3.11.ag_bl_afb 
(-1, -5, 23), [3, 3, 3], 3.11.ag_bn_afd 
(-3, -3, 19), [1, 1, 3], 3.11.ag_bn_aet 
(-1, -5, 25), [3, 3, 1], 3.11.ag_bp_aff 
(-3, -3, 21), [1, 1, 1], 3.11.ag_bp_aez 
(-2, -4, 23), [2, 0, 3], 3.11.ag_bq_afe 
(-1, -5, 27), [3, 3, 3], 3.11.ag_br_afh 
(-3, -3, 23), [1, 1, 3], 3.11.ag_br_aff 
(-5, 0, -21), [3, 0, 3], 3.11.af_ak_eb 
(-6, 1, -15), [2, 1, 1], 3.11.af_ak_ei 
(-5, 0, -20), [3, 0, 0], 3.11.af_aj_dw 
(-6, 1, -14), [2, 1, 2], 3.11.af_aj_ec 
(-5, 0, -19), [3, 0, 1], 3.11.af_ai_dr 
(-6, 1, -13), [2, 1, 3], 3.11.af_ai_dw 
(-5, 0, -17), [3, 0, 3], 3.11.af_ag_dh 
(6, -11, 51), [2, 1, 3], 3.11.af_ae_cm 
(-5, 0, -15), [3, 0, 1], 3.11.af_ae_cx 
(-6, 1, -9), [2, 1, 3], 3.11.af_ae_cy 
(-5, 0, -13), [3, 0, 3], 3.11.af_ac_cn 
(-5, 0, -9), [3, 0, 3], 3.11.af_c_bt 
(-5, 0, -7), [3, 0, 1], 3.11.af_e_bj 
(-5, 0, -6), [3, 0, 2], 3.11.af_f_be 
(5, -10, 45), [1, 2, 1], 3.11.af_g_f 
(-5, 0, -5), [3, 0, 3], 3.11.af_g_z 
(-5, 0, -4), [3, 0, 0], 3.11.af_h_u 
(-5, 0, -2), [3, 0, 2], 3.11.af_j_k 
(-3, -2, -7), [1, 2, 1], 3.11.af_k_ax 
(-5, 0, -1), [3, 0, 3], 3.11.af_k_f 
(-3, -2, -5), [1, 2, 3], 3.11.af_m_abd 
(-5, 0, 1), [3, 0, 1], 3.11.af_m_af 
(-3, -2, -3), [1, 2, 1], 3.11.af_o_abj 
(-5, 0, 3), [3, 0, 3], 3.11.af_o_ap 
(-3, -2, -1), [1, 2, 3], 3.11.af_q_abp 
(-5, 0, 5), [3, 0, 1], 3.11.af_q_az 
(-3, -2, 1), [1, 2, 1], 3.11.af_s_abv 
(-5, 0, 7), [3, 0, 3], 3.11.af_s_abj 
(-1, -4, 5), [3, 0, 1], 3.11.af_u_adp 
(-3, -2, 3), [1, 2, 3], 3.11.af_u_acb 
(-5, 0, 9), [3, 0, 1], 3.11.af_u_abt 
(-1, -4, 7), [3, 0, 3], 3.11.af_w_adr 
(3, -8, 35), [3, 0, 3], 3.11.af_w_act 
(-3, -2, 5), [1, 2, 1], 3.11.af_w_ach 
(-4, -1, 7), [0, 3, 3], 3.11.af_w_aby 
(1, -6, 18), [1, 2, 2], 3.11.af_x_aek 
(-4, -1, 8), [0, 3, 0], 3.11.af_x_acc 
(1, -6, 19), [1, 2, 3], 3.11.af_y_aej 
(-1, -4, 9), [3, 0, 1], 3.11.af_y_adt 
(-4, -1, 9), [0, 3, 1], 3.11.af_y_acg 
(1, -6, 21), [1, 2, 1], 3.11.af_ba_aeh 
(-5, 0, 15), [3, 0, 3], 3.11.af_ba_acx 
(-3, -2, 9), [1, 2, 1], 3.11.af_ba_act 
(-4, -1, 12), [0, 3, 0], 3.11.af_bb_acs 
(1, -6, 23), [1, 2, 3], 3.11.af_bc_aef 
(-1, -4, 13), [3, 0, 1], 3.11.af_bc_adx 
(-5, 0, 17), [3, 0, 1], 3.11.af_bc_adh 
(-4, -1, 13), [0, 3, 1], 3.11.af_bc_acw 
(1, -6, 25), [1, 2, 1], 3.11.af_be_aed 
(-1, -4, 15), [3, 0, 3], 3.11.af_be_adz 
(-5, 0, 19), [3, 0, 3], 3.11.af_be_adr 
(-3, -2, 13), [1, 2, 1], 3.11.af_be_adf 
(-3, -2, 15), [1, 2, 3], 3.11.af_bg_adl 
(-3, -2, 16), [1, 2, 0], 3.11.af_bh_ado 
(-1, -4, 19), [3, 0, 3], 3.11.af_bi_aed 
(1, -6, 29), [1, 2, 1], 3.11.af_bi_adz 
(-3, -2, 17), [1, 2, 1], 3.11.af_bi_adr 
(-3, -2, 18), [1, 2, 2], 3.11.af_bj_adu 
(-1, -4, 21), [3, 0, 1], 3.11.af_bk_aef 
