(-4, 6, 17), [0, 2, 1], 3.5.c_ac_ai 
(3, -1, -3), [3, 3, 1], 3.5.c_ab_at 
(3, -1, -1), [3, 3, 3], 3.5.c_b_an 
(3, -1, 1), [3, 3, 1], 3.5.c_d_ah 
(2, 0, -1), [2, 0, 3], 3.5.c_e_ac 
(-1, 3, 7), [3, 3, 3], 3.5.c_j_x 
(3, -1, 9), [3, 3, 1], 3.5.c_l_r 
(-1, 3, 9), [3, 3, 1], 3.5.c_l_v 
(2, 0, 7), [2, 0, 3], 3.5.c_m_o 
(1, 1, 7), [1, 1, 3], 3.5.c_n_r 
(-1, 3, 11), [3, 3, 3], 3.5.c_n_t 
(1, 1, 9), [1, 1, 1], 3.5.c_p_t 
(3, 0, -9), [3, 0, 3], 3.5.d_ae_abb 
(4, -1, -4), [0, 3, 0], 3.5.d_ad_aba 
(3, 0, -8), [3, 0, 0], 3.5.d_ad_ay 
(3, 0, -7), [3, 0, 1], 3.5.d_ac_av 
(4, -1, -1), [0, 3, 3], 3.5.d_a_ao 
(3, 0, -3), [3, 0, 1], 3.5.d_c_aj 
(3, 0, -2), [3, 0, 2], 3.5.d_d_ag 
(3, 0, -1), [3, 0, 3], 3.5.d_e_ad 
(-3, 6, 17), [1, 2, 1], 3.5.d_e_j 
(1, 2, -1), [1, 2, 3], 3.5.d_g_t 
(3, 0, 2), [3, 0, 2], 3.5.d_h_g 
(3, 0, 3), [3, 0, 3], 3.5.d_i_j 
(1, 2, 1), [1, 2, 1], 3.5.d_i_v 
(3, 0, 4), [3, 0, 0], 3.5.d_j_m 
(-1, 4, 8), [3, 0, 0], 3.5.d_j_bg 
(1, 2, 3), [1, 2, 3], 3.5.d_k_x 
(-1, 4, 9), [3, 0, 1], 3.5.d_k_bf 
(3, 0, 7), [3, 0, 3], 3.5.d_m_v 
(-1, 4, 11), [3, 0, 3], 3.5.d_m_bd 
(2, 1, 6), [2, 1, 2], 3.5.d_n_w 
(2, 1, 7), [2, 1, 3], 3.5.d_o_y 
(1, 2, 8), [1, 2, 0], 3.5.d_p_bc 
(2, 1, 9), [2, 1, 1], 3.5.d_q_bc 
(1, 2, 9), [1, 2, 1], 3.5.d_q_bd 
(4, 0, -9), [0, 0, 3], 3.5.e_ae_abk 
(4, 0, -8), [0, 0, 0], 3.5.e_ad_abg 
(4, 0, -7), [0, 0, 1], 3.5.e_ac_abc 
(4, 0, -4), [0, 0, 0], 3.5.e_b_aq 
(4, 0, -3), [0, 0, 1], 3.5.e_c_am 
(3, 1, -3), [3, 1, 1], 3.5.e_f_b 
(3, 1, 1), [3, 1, 1], 3.5.e_j_n 
(3, 1, 3), [3, 1, 3], 3.5.e_l_t 
(3, 1, 7), [3, 1, 3], 3.5.e_p_bf 
(1, 3, 9), [1, 3, 1], 3.5.e_r_bn 
