(3, 3, 33), [3, 3, 1], 3.16.g_cg_hn 
(1, 5, 37), [1, 1, 1], 3.16.g_cg_hp 
(7, 0, -31), [3, 0, 1], 3.16.h_ap_aij 
(7, 0, -19), [3, 0, 1], 3.16.h_ad_afd 
(7, 1, -23), [3, 1, 1], 3.16.i_a_aez 
(7, 1, -13), [3, 1, 3], 3.16.i_k_ach 
(7, 1, -11), [3, 1, 1], 3.16.i_m_abt 
(7, 1, -9), [3, 1, 3], 3.16.i_o_abf 
(5, 3, 21), [1, 3, 1], 3.16.i_ca_ht 
(5, 3, 23), [1, 3, 3], 3.16.i_cc_id 
(1, 7, 35), [1, 3, 3], 3.16.i_cg_jz 
(1, 7, 37), [1, 3, 1], 3.16.i_ci_kb 
(3, 5, 31), [3, 1, 3], 3.16.i_ck_jt 
(1, 7, 39), [1, 3, 3], 3.16.i_ck_kd 
(1, 7, 41), [1, 3, 1], 3.16.i_cm_kf 
(3, 5, 37), [3, 1, 1], 3.16.i_cq_kl 
(7, 3, -1), [3, 3, 3], 3.16.k_bk_dl 
(7, 3, 1), [3, 3, 1], 3.16.k_bm_dz 
(7, 3, 3), [3, 3, 3], 3.16.k_bo_en 
(7, 3, 5), [3, 3, 1], 3.16.k_bq_fb 
(1, 9, 41), [1, 1, 1], 3.16.k_co_mr 
(3, 7, 33), [3, 3, 1], 3.16.k_cs_ml 
(5, 5, 31), [1, 1, 3], 3.16.k_cu_md 
(5, 5, 33), [1, 1, 1], 3.16.k_cw_mn 
(3, 7, 43), [3, 3, 3], 3.16.k_dc_np 
(7, 4, 13), [3, 0, 1], 3.16.l_cf_il 
(7, 5, 11), [3, 1, 3], 3.16.m_ck_jd 
(7, 5, 17), [3, 1, 1], 3.16.m_cq_kt 
(7, 5, 19), [3, 1, 3], 3.16.m_cs_lh 
(7, 5, 21), [3, 1, 1], 3.16.m_cu_lv 
(7, 5, 23), [3, 1, 3], 3.16.m_cw_mj 
(5, 7, 33), [1, 3, 1], 3.16.m_dg_oz 
(1, 11, 59), [1, 3, 3], 3.16.m_di_pv 
(5, 7, 41), [1, 3, 1], 3.16.m_do_qn 
(3, 9, 49), [3, 1, 1], 3.16.m_do_qt 
(5, 7, 43), [1, 3, 3], 3.16.m_dq_qx 
(3, 9, 51), [3, 1, 3], 3.16.m_dq_qz 
(7, 7, 25), [3, 3, 1], 3.16.o_dm_pj 
(7, 7, 29), [3, 3, 1], 3.16.o_dq_ql 
(7, 7, 31), [3, 3, 3], 3.16.o_ds_qz 
(7, 7, 33), [3, 3, 1], 3.16.o_du_rn 
(7, 7, 39), [3, 3, 3], 3.16.o_ea_td 
(7, 7, 41), [3, 3, 1], 3.16.o_ec_tr 
(3, 11, 57), [3, 3, 1], 3.16.o_ec_ud 
(5, 9, 47), [1, 1, 3], 3.16.o_ee_ud 
(7, 7, 43), [3, 3, 3], 3.16.o_ee_uf 
(3, 11, 59), [3, 3, 3], 3.16.o_ee_uj 
(5, 9, 51), [1, 1, 3], 3.16.o_ei_ux 
(7, 8, 33), [3, 0, 1], 3.16.p_eb_st 
(7, 8, 35), [3, 0, 3], 3.16.p_ed_th 
(7, 8, 37), [3, 0, 1], 3.16.p_ef_tv 
(7, 8, 41), [3, 0, 1], 3.16.p_ej_ux 
(5, 10, 55), [1, 2, 3], 3.16.p_er_wx 
(7, 9, 41), [3, 1, 1], 3.16.q_eq_wd 
(7, 9, 43), [3, 1, 3], 3.16.q_es_wr 
(7, 9, 45), [3, 1, 1], 3.16.q_eu_xf 
(7, 9, 47), [3, 1, 3], 3.16.q_ew_xt 
(3, 13, 73), [3, 1, 1], 3.16.q_ey_yl 
(5, 11, 57), [1, 3, 1], 3.16.q_ey_yn 
(7, 9, 51), [3, 1, 3], 3.16.q_fa_yv 
(5, 11, 59), [1, 3, 3], 3.16.q_fa_yx 
(5, 11, 61), [1, 3, 1], 3.16.q_fc_zh 
(7, 10, 55), [3, 2, 3], 3.16.r_fl_bbd 
(5, 12, 65), [1, 0, 1], 3.16.r_fl_bbh 
(7, 11, 57), [3, 3, 1], 3.16.s_fu_bcx 
(7, 11, 59), [3, 3, 3], 3.16.s_fw_bdl 
(7, 11, 61), [3, 3, 1], 3.16.s_fy_bdz 
(5, 13, 73), [1, 1, 1], 3.16.s_fy_beb 
(7, 12, 65), [3, 0, 1], 3.16.t_gj_bgh 
(7, 13, 73), [3, 1, 1], 3.16.u_gy_bjr 
