(-3, -1, 13), [4, 6, 6], 3.7.ae_x_acb 
(-2, -2, 12), [5, 5, 5], 3.7.ae_x_aca 
(-5, 2, -2), [2, 2, 5], 3.7.ad_af_bm 
(-3, 0, -10), [4, 0, 4], 3.7.ad_ad_be 
(-5, 2, 2), [2, 2, 2], 3.7.ad_ab_s 
(-3, 0, -8), [4, 0, 6], 3.7.ad_ab_y 
(-2, -1, -8), [5, 6, 6], 3.7.ad_b_c 
(-5, 2, 4), [2, 2, 4], 3.7.ad_b_i 
(-3, 0, -6), [4, 0, 1], 3.7.ad_b_s 
(-4, 1, -2), [3, 1, 5], 3.7.ad_b_w 
(-4, 1, -1), [3, 1, 6], 3.7.ad_c_s 
(-3, 0, -4), [4, 0, 3], 3.7.ad_d_m 
(-2, -1, -5), [5, 6, 2], 3.7.ad_e_ae 
(4, -7, 25), [4, 0, 4], 3.7.ad_e_c 
(-4, 1, 1), [3, 1, 1], 3.7.ad_e_k 
(-5, 2, 8), [2, 2, 1], 3.7.ad_f_am 
(-2, -1, -4), [5, 6, 3], 3.7.ad_f_ag 
(-2, -1, -3), [5, 6, 4], 3.7.ad_g_ai 
(-4, 1, 3), [3, 1, 3], 3.7.ad_g_c 
(3, -6, 18), [3, 1, 4], 3.7.ad_h_abe 
(-1, -2, -2), [6, 5, 5], 3.7.ad_h_aba 
(-5, 2, 10), [2, 2, 3], 3.7.ad_h_aw 
(-2, -1, -2), [5, 6, 5], 3.7.ad_h_ak 
(-4, 1, 4), [3, 1, 4], 3.7.ad_h_ac 
(-2, -1, -1), [5, 6, 6], 3.7.ad_i_am 
(-4, 1, 5), [3, 1, 5], 3.7.ad_i_ag 
(-5, 2, 12), [2, 2, 5], 3.7.ad_j_abg 
(3, -6, 20), [3, 1, 6], 3.7.ad_j_ay 
(-4, 1, 6), [3, 1, 6], 3.7.ad_j_ak 
(2, -5, 13), [2, 2, 6], 3.7.ad_k_abs 
(-2, -1, 1), [5, 6, 1], 3.7.ad_k_aq 
(-1, -2, 2), [6, 5, 2], 3.7.ad_l_abe 
(2, -5, 15), [2, 2, 1], 3.7.ad_m_abo 
(-4, 1, 9), [3, 1, 2], 3.7.ad_m_aw 
(-2, -1, 3), [5, 6, 3], 3.7.ad_m_au 
(2, -5, 16), [2, 2, 2], 3.7.ad_n_abm 
(-1, -2, 4), [6, 5, 4], 3.7.ad_n_abg 
(-4, 1, 10), [3, 1, 3], 3.7.ad_n_aba 
(-2, -1, 4), [5, 6, 4], 3.7.ad_n_aw 
(2, -5, 17), [2, 2, 3], 3.7.ad_o_abk 
(-4, 1, 11), [3, 1, 4], 3.7.ad_o_abe 
(-2, -1, 5), [5, 6, 5], 3.7.ad_o_ay 
(-2, -1, 6), [5, 6, 6], 3.7.ad_p_aba 
(-4, 1, 13), [3, 1, 6], 3.7.ad_q_abm 
(2, -5, 19), [2, 2, 5], 3.7.ad_q_abg 
(-1, -2, 8), [6, 5, 1], 3.7.ad_r_abk 
(1, -4, 16), [1, 3, 2], 3.7.ad_t_abo 
(-1, -2, 10), [6, 5, 3], 3.7.ad_t_abm 
(-3, 0, 12), [4, 0, 5], 3.7.ad_t_abk 
(-5, 3, 2), [2, 3, 2], 3.7.ac_ag_bg 
(-2, 0, -12), [5, 0, 2], 3.7.ac_af_y 
(-5, 3, 3), [2, 3, 3], 3.7.ac_af_bb 
(-3, 1, -8), [4, 1, 6], 3.7.ac_ae_bm 
(-5, 3, 5), [2, 3, 5], 3.7.ac_ad_r 
(-2, 0, -10), [5, 0, 4], 3.7.ac_ad_u 
(5, -7, 25), [5, 0, 4], 3.7.ac_ad_bb 
(-4, 2, -2), [3, 2, 5], 3.7.ac_ad_bk 
(-5, 3, 6), [2, 3, 6], 3.7.ac_ac_m 
(-2, 0, -9), [5, 0, 5], 3.7.ac_ac_s 
(-2, 0, -8), [5, 0, 6], 3.7.ac_ab_q 
(-1, -1, -8), [6, 6, 6], 3.7.ac_a_ag 
(-5, 3, 8), [2, 3, 1], 3.7.ac_a_c 
(-4, 2, 1), [3, 2, 1], 3.7.ac_a_y 
(-3, 1, -4), [4, 1, 3], 3.7.ac_a_ba 
(4, -6, 18), [4, 1, 4], 3.7.ac_b_am 
(-5, 3, 9), [2, 3, 2], 3.7.ac_b_ad 
(-2, 0, -6), [5, 0, 1], 3.7.ac_b_m 
(-4, 2, 2), [3, 2, 2], 3.7.ac_b_u 
(-2, 0, -5), [5, 0, 2], 3.7.ac_c_k 
(-4, 2, 3), [3, 2, 3], 3.7.ac_c_q 
(-3, 1, -2), [4, 1, 5], 3.7.ac_c_u 
(-5, 3, 11), [2, 3, 4], 3.7.ac_d_an 
(-1, -1, -5), [6, 6, 2], 3.7.ac_d_aj 
(4, -6, 20), [4, 1, 6], 3.7.ac_d_ae 
(-2, 0, -4), [5, 0, 3], 3.7.ac_d_i 
(-4, 2, 4), [3, 2, 4], 3.7.ac_d_m 
(-5, 3, 12), [2, 3, 5], 3.7.ac_e_as 
(-1, -1, -4), [6, 6, 3], 3.7.ac_e_ak 
(-2, 0, -3), [5, 0, 4], 3.7.ac_e_g 
(-4, 2, 5), [3, 2, 5], 3.7.ac_e_i 
(-5, 3, 13), [2, 3, 6], 3.7.ac_f_ax 
(-1, -1, -3), [6, 6, 4], 3.7.ac_f_al 
(1, -3, 2), [1, 4, 2], 3.7.ac_g_abo 
(-1, -1, -2), [6, 6, 5], 3.7.ac_g_am 
(-2, 0, -1), [5, 0, 6], 3.7.ac_g_c 
(2, -4, 8), [2, 3, 1], 3.7.ac_h_abo 
(1, -3, 3), [1, 4, 3], 3.7.ac_h_abn 
(-5, 3, 15), [2, 3, 1], 3.7.ac_h_abh 
(3, -5, 15), [3, 2, 1], 3.7.ac_h_az 
(-1, -1, -1), [6, 6, 6], 3.7.ac_h_an 
(-4, 2, 8), [3, 2, 1], 3.7.ac_h_ae 
(3, -5, 16), [3, 2, 2], 3.7.ac_i_aw 
(-4, 2, 9), [3, 2, 2], 3.7.ac_i_ai 
(-2, 0, 1), [5, 0, 1], 3.7.ac_i_ac 
(-3, 1, 4), [4, 1, 4], 3.7.ac_i_c 
(1, -3, 5), [1, 4, 5], 3.7.ac_j_abl 
(2, -4, 10), [2, 3, 3], 3.7.ac_j_abk 
(3, -5, 17), [3, 2, 3], 3.7.ac_j_at 
(-1, -1, 1), [6, 6, 1], 3.7.ac_j_ap 
(-4, 2, 10), [3, 2, 3], 3.7.ac_j_am 
(-2, 0, 2), [5, 0, 2], 3.7.ac_j_ae 
(1, -3, 6), [1, 4, 6], 3.7.ac_k_abk 
(2, -4, 11), [2, 3, 4], 3.7.ac_k_abi 
(-2, 0, 3), [5, 0, 3], 3.7.ac_k_ag 
(-3, 1, 6), [4, 1, 6], 3.7.ac_k_ae 
(2, -4, 12), [2, 3, 5], 3.7.ac_l_abg 
(-4, 2, 12), [3, 2, 5], 3.7.ac_l_au 
(-1, -1, 3), [6, 6, 3], 3.7.ac_l_ar 
(3, -5, 19), [3, 2, 5], 3.7.ac_l_an 
(-2, 0, 4), [5, 0, 4], 3.7.ac_l_ai 
(1, -3, 8), [1, 4, 1], 3.7.ac_m_abi 
(2, -4, 13), [2, 3, 6], 3.7.ac_m_abe 
(-4, 2, 13), [3, 2, 6], 3.7.ac_m_ay 
(-1, -1, 4), [6, 6, 4], 3.7.ac_m_as 
(-1, -1, 5), [6, 6, 5], 3.7.ac_n_at 
(-3, 1, 9), [4, 1, 2], 3.7.ac_n_an 
(-2, 0, 6), [5, 0, 6], 3.7.ac_n_am 
(2, -4, 15), [2, 3, 1], 3.7.ac_o_aba 
(-1, -1, 6), [6, 6, 6], 3.7.ac_o_au 
(-3, 1, 10), [4, 1, 3], 3.7.ac_o_aq 
(2, -4, 16), [2, 3, 2], 3.7.ac_p_ay 
(-3, 1, 11), [4, 1, 4], 3.7.ac_p_at 
(-2, 0, 8), [5, 0, 1], 3.7.ac_p_aq 
(1, -3, 12), [1, 4, 5], 3.7.ac_q_abe 
(-3, 1, 13), [4, 1, 6], 3.7.ac_r_az 
(-1, -1, 9), [6, 6, 2], 3.7.ac_r_ax 
(-1, -1, 10), [6, 6, 3], 3.7.ac_s_ay 
(1, -3, 15), [1, 4, 1], 3.7.ac_t_abb 
(-2, 0, 12), [5, 0, 5], 3.7.ac_t_ay 
(5, -6, 18), [5, 1, 4], 3.7.ab_af_g 
(-1, 0, -12), [6, 0, 2], 3.7.ab_af_m 
(-5, 4, 8), [2, 4, 1], 3.7.ab_af_q 
(-5, 4, 10), [2, 4, 3], 3.7.ab_ad_g 
(-1, 0, -10), [6, 0, 4], 3.7.ab_ad_k 
(5, -6, 20), [5, 1, 6], 3.7.ab_ad_q 
(-2, 1, -8), [5, 1, 6], 3.7.ab_ad_be 
(-4, 3, 2), [3, 3, 2], 3.7.ab_ad_bi 
(-4, 3, 3), [3, 3, 3], 3.7.ab_ac_be 
(-5, 4, 12), [2, 4, 5], 3.7.ab_ab_ae 
(-1, 0, -8), [6, 0, 6], 3.7.ab_ab_i 
(4, -5, 13), [4, 2, 6], 3.7.ab_a_as 
(-4, 3, 5), [3, 3, 5], 3.7.ab_a_w 
(-2, 1, -5), [5, 1, 2], 3.7.ab_a_y 
(-1, 0, -6), [6, 0, 1], 3.7.ab_b_g 
(-4, 3, 6), [3, 3, 6], 3.7.ab_b_s 
(-2, 1, -4), [5, 1, 3], 3.7.ab_b_w 
(4, -5, 15), [4, 2, 1], 3.7.ab_c_ak 
(-2, 1, -3), [5, 1, 4], 3.7.ab_c_u 
(3, -4, 8), [3, 3, 1], 3.7.ab_d_abg 
(1, -2, -2), [1, 5, 5], 3.7.ab_d_abe 
(-5, 4, 16), [2, 4, 2], 3.7.ab_d_ay 
(4, -5, 16), [4, 2, 2], 3.7.ab_d_ag 
(-1, 0, -4), [6, 0, 3], 3.7.ab_d_e 
(-4, 3, 8), [3, 3, 1], 3.7.ab_d_k 
(-2, 1, -2), [5, 1, 5], 3.7.ab_d_s 
(4, -5, 17), [4, 2, 3], 3.7.ab_e_ac 
(-4, 3, 9), [3, 3, 2], 3.7.ab_e_g 
(-2, 1, -1), [5, 1, 6], 3.7.ab_e_q 
(3, -4, 10), [3, 3, 3], 3.7.ab_f_aba 
(-3, 2, 4), [4, 2, 4], 3.7.ab_f_q 
(-4, 3, 11), [3, 3, 4], 3.7.ab_g_ac 
(4, -5, 19), [4, 2, 5], 3.7.ab_g_g 
(-2, 1, 1), [5, 1, 1], 3.7.ab_g_m 
(1, -2, 2), [1, 5, 2], 3.7.ab_h_aba 
(3, -4, 12), [3, 3, 5], 3.7.ab_h_au 
(-4, 3, 12), [3, 3, 5], 3.7.ab_h_ag 
(-4, 3, 13), [3, 3, 6], 3.7.ab_i_ak 
(-2, 1, 3), [5, 1, 3], 3.7.ab_i_i 
(2, -3, 8), [2, 4, 1], 3.7.ab_j_aba 
(1, -2, 4), [1, 5, 4], 3.7.ab_j_ay 
(-1, 0, 2), [6, 0, 2], 3.7.ab_j_ac 
(-3, 2, 8), [4, 2, 1], 3.7.ab_j_e 
(-2, 1, 4), [5, 1, 4], 3.7.ab_j_g 
(2, -3, 9), [2, 4, 2], 3.7.ab_k_ay 
(-4, 3, 15), [3, 3, 1], 3.7.ab_k_as 
(3, -4, 16), [3, 3, 2], 3.7.ab_l_ai 
(-3, 2, 10), [4, 2, 3], 3.7.ab_l_ac 
(2, -3, 11), [2, 4, 4], 3.7.ab_m_au 
(2, -3, 12), [2, 4, 5], 3.7.ab_n_as 
(-3, 2, 12), [4, 2, 5], 3.7.ab_n_ai 
(-1, 0, 6), [6, 0, 6], 3.7.ab_n_ag 
(2, -3, 13), [2, 4, 6], 3.7.ab_o_aq 
(-1, 0, 8), [6, 0, 1], 3.7.ab_p_ai 
(2, -3, 15), [2, 4, 1], 3.7.ab_q_am 
(-2, 1, 13), [5, 1, 6], 3.7.ab_s_am 
(5, -5, 13), [5, 2, 6], 3.7.a_af_af 
(-5, 5, 13), [2, 5, 6], 3.7.a_af_f 
(-5, 5, 15), [2, 5, 1], 3.7.a_ad_af 
(5, -5, 15), [5, 2, 1], 3.7.a_ad_f 
(1, -1, -8), [1, 6, 6], 3.7.a_ac_aw 
(-5, 5, 16), [2, 5, 2], 3.7.a_ac_ak 
(5, -5, 16), [5, 2, 2], 3.7.a_ac_k 
(-1, 1, -8), [6, 1, 6], 3.7.a_ac_w 
(4, -4, 8), [4, 3, 1], 3.7.a_ab_ay 
(-5, 5, 17), [2, 5, 3], 3.7.a_ab_ap 
(5, -5, 17), [5, 2, 3], 3.7.a_ab_p 
(-4, 4, 8), [3, 4, 1], 3.7.a_ab_y 
(3, -3, 2), [3, 4, 2], 3.7.a_a_abk 
(2, -2, -3), [2, 5, 4], 3.7.a_a_abi 
(-2, 2, -3), [5, 2, 4], 3.7.a_a_bi 
(-3, 3, 2), [4, 3, 2], 3.7.a_a_bk 
(3, -3, 3), [3, 4, 3], 3.7.a_b_abh 
(2, -2, -2), [2, 5, 5], 3.7.a_b_abg 
(-5, 5, 19), [2, 5, 5], 3.7.a_b_az 
(1, -1, -5), [1, 6, 2], 3.7.a_b_at 
(4, -4, 10), [4, 3, 3], 3.7.a_b_aq 
(-4, 4, 10), [3, 4, 3], 3.7.a_b_q 
(-1, 1, -5), [6, 1, 2], 3.7.a_b_t 
(5, -5, 19), [5, 2, 5], 3.7.a_b_z 
(-2, 2, -2), [5, 2, 5], 3.7.a_b_bg 
(-3, 3, 3), [4, 3, 3], 3.7.a_b_bh 
(1, -1, -4), [1, 6, 3], 3.7.a_c_as 
(4, -4, 11), [4, 3, 4], 3.7.a_c_am 
(-4, 4, 11), [3, 4, 4], 3.7.a_c_m 
(-1, 1, -4), [6, 1, 3], 3.7.a_c_s 
(3, -3, 5), [3, 4, 5], 3.7.a_d_abb 
(1, -1, -3), [1, 6, 4], 3.7.a_d_ar 
(4, -4, 12), [4, 3, 5], 3.7.a_d_ai 
(-4, 4, 12), [3, 4, 5], 3.7.a_d_i 
(-1, 1, -3), [6, 1, 4], 3.7.a_d_r 
(-3, 3, 5), [4, 3, 5], 3.7.a_d_bb 
(2, -2, 1), [2, 5, 1], 3.7.a_e_aba 
(3, -3, 6), [3, 4, 6], 3.7.a_e_ay 
(1, -1, -2), [1, 6, 5], 3.7.a_e_aq 
(4, -4, 13), [4, 3, 6], 3.7.a_e_ae 
(-4, 4, 13), [3, 4, 6], 3.7.a_e_e 
(-1, 1, -2), [6, 1, 5], 3.7.a_e_q 
(-3, 3, 6), [4, 3, 6], 3.7.a_e_y 
(-2, 2, 1), [5, 2, 1], 3.7.a_e_ba 
(2, -2, 2), [2, 5, 2], 3.7.a_f_ay 
(1, -1, -1), [1, 6, 6], 3.7.a_f_ap 
(-1, 1, -1), [6, 1, 6], 3.7.a_f_p 
(-2, 2, 2), [5, 2, 2], 3.7.a_f_y 
(2, -2, 3), [2, 5, 3], 3.7.a_g_aw 
(3, -3, 8), [3, 4, 1], 3.7.a_g_as 
(-4, 4, 15), [3, 4, 1], 3.7.a_g_ae 
(4, -4, 15), [4, 3, 1], 3.7.a_g_e 
(-3, 3, 8), [4, 3, 1], 3.7.a_g_s 
(-2, 2, 3), [5, 2, 3], 3.7.a_g_w 
(2, -2, 4), [2, 5, 4], 3.7.a_h_au 
(3, -3, 9), [3, 4, 2], 3.7.a_h_ap 
(1, -1, 1), [1, 6, 1], 3.7.a_h_an 
(-4, 4, 16), [3, 4, 2], 3.7.a_h_ai 
(4, -4, 16), [4, 3, 2], 3.7.a_h_i 
(-1, 1, 1), [6, 1, 1], 3.7.a_h_n 
(-3, 3, 9), [4, 3, 2], 3.7.a_h_p 
(-2, 2, 4), [5, 2, 4], 3.7.a_h_u 
(1, -1, 3), [1, 6, 3], 3.7.a_j_al 
(3, -3, 11), [3, 4, 4], 3.7.a_j_aj 
(-3, 3, 11), [4, 3, 4], 3.7.a_j_j 
(-1, 1, 3), [6, 1, 3], 3.7.a_j_l 
(1, -1, 4), [1, 6, 4], 3.7.a_k_ak 
(3, -3, 12), [3, 4, 5], 3.7.a_k_ag 
(-3, 3, 12), [4, 3, 5], 3.7.a_k_g 
(-1, 1, 4), [6, 1, 4], 3.7.a_k_k 
(2, -2, 8), [2, 5, 1], 3.7.a_l_am 
(1, -1, 5), [1, 6, 5], 3.7.a_l_aj 
(3, -3, 13), [3, 4, 6], 3.7.a_l_ad 
(-3, 3, 13), [4, 3, 6], 3.7.a_l_d 
(-1, 1, 5), [6, 1, 5], 3.7.a_l_j 
(-2, 2, 8), [5, 2, 1], 3.7.a_l_m 
(2, -2, 9), [2, 5, 2], 3.7.a_m_ak 
(1, -1, 6), [1, 6, 6], 3.7.a_m_ai 
(-1, 1, 6), [6, 1, 6], 3.7.a_m_i 
(-2, 2, 9), [5, 2, 2], 3.7.a_m_k 
(2, -2, 10), [2, 5, 3], 3.7.a_n_ai 
(-3, 3, 15), [4, 3, 1], 3.7.a_n_ad 
(3, -3, 15), [3, 4, 1], 3.7.a_n_d 
(-2, 2, 10), [5, 2, 3], 3.7.a_n_i 
(2, -2, 12), [2, 5, 5], 3.7.a_p_ae 
(-2, 2, 12), [5, 2, 5], 3.7.a_p_e 
(1, -1, 10), [1, 6, 3], 3.7.a_q_ae 
(2, -2, 13), [2, 5, 6], 3.7.a_q_ac 
(-2, 2, 13), [5, 2, 6], 3.7.a_q_c 
(-1, 1, 10), [6, 1, 3], 3.7.a_q_e 
(5, -4, 8), [5, 3, 1], 3.7.b_af_aq 
(1, 0, -12), [1, 0, 2], 3.7.b_af_am 
(-5, 6, 18), [2, 6, 4], 3.7.b_af_ag 
