(-6, -7, 46), [13, 12, 8] 
(-5, -8, 49), [14, 11, 11] 
(-6, -7, 47), [13, 12, 9] 
(-3, -10, 60), [16, 9, 3] 
(-3, -10, 61), [16, 9, 4] 
(-4, -9, 55), [15, 10, 17] 
(-5, -8, 51), [14, 11, 13] 
(-5, -8, 52), [14, 11, 14] 
(-8, -4, 5), [11, 15, 5] 
(-8, -4, 7), [11, 15, 7] 
(-7, -5, 21), [12, 14, 2] 
(-7, -5, 23), [12, 14, 4] 
(-7, -5, 25), [12, 14, 6] 
(-7, -5, 27), [12, 14, 8] 
(-2, -10, 53), [17, 9, 15] 
(-6, -6, 37), [13, 13, 18] 
(-2, -10, 55), [17, 9, 17] 
(-6, -6, 39), [13, 13, 1] 
(-3, -9, 53), [16, 10, 15] 
(-5, -7, 45), [14, 12, 7] 
(-3, -9, 55), [16, 10, 17] 
(-5, -7, 47), [14, 12, 9] 
(-5, -7, 49), [14, 12, 11] 
(-8, -3, -6), [11, 16, 13] 
(-8, -3, -5), [11, 16, 14] 
(-8, -3, -4), [11, 16, 15] 
(-8, -3, -3), [11, 16, 16] 
(-8, -3, -1), [11, 16, 18] 
(-7, -4, -3), [12, 15, 16] 
(-8, -3, 1), [11, 16, 1] 
(-7, -4, -1), [12, 15, 18] 
(-7, -4, 1), [12, 15, 1] 
(-7, -4, 3), [12, 15, 3] 
(-7, -4, 5), [12, 15, 5] 
(-7, -4, 7), [12, 15, 7] 
(-7, -4, 9), [12, 15, 9] 
(-7, -4, 11), [12, 15, 11] 
(-7, -4, 13), [12, 15, 13] 
(-7, -4, 14), [12, 15, 14] 
(3, -14, 85), [3, 5, 9] 
(-7, -4, 15), [12, 15, 15] 
(-7, -4, 16), [12, 15, 16] 
(-5, -6, 15), [14, 13, 15] 
(-7, -4, 18), [12, 15, 18] 
(-5, -6, 17), [14, 13, 17] 
(-7, -4, 20), [12, 15, 1] 
(-7, -4, 21), [12, 15, 2] 
(-5, -6, 21), [14, 13, 2] 
(-7, -4, 23), [12, 15, 4] 
(-5, -6, 23), [14, 13, 4] 
(-7, -4, 25), [12, 15, 6] 
(1, -12, 67), [1, 7, 10] 
(-5, -6, 25), [14, 13, 6] 
(-7, -4, 27), [12, 15, 8] 
(-3, -8, 33), [16, 11, 14] 
(1, -12, 69), [1, 7, 12] 
(-5, -6, 27), [14, 13, 8] 
(-7, -4, 29), [12, 15, 10] 
(-2, -9, 41), [17, 10, 3] 
(-3, -8, 35), [16, 11, 16] 
(1, -12, 71), [1, 7, 14] 
(-5, -6, 29), [14, 13, 10] 
(-7, -4, 31), [12, 15, 12] 
(-6, -5, 29), [13, 14, 10] 
(-1, -10, 50), [18, 9, 12] 
(-6, -5, 30), [13, 14, 11] 
(-1, -10, 51), [18, 9, 13] 
(-3, -8, 37), [16, 11, 18] 
(-6, -5, 31), [13, 14, 12] 
(-1, -10, 53), [18, 9, 15] 
(-3, -8, 39), [16, 11, 1] 
(-7, -4, 35), [12, 15, 16] 
(-5, -6, 33), [14, 13, 14] 
(-6, -5, 33), [13, 14, 14] 
(-6, -5, 34), [13, 14, 15] 
(-1, -10, 55), [18, 9, 17] 
(-3, -8, 41), [16, 11, 3] 
(-7, -4, 37), [12, 15, 18] 
(-5, -6, 35), [14, 13, 16] 
(-6, -5, 35), [13, 14, 16] 
(-2, -9, 49), [17, 10, 11] 
(-3, -8, 43), [16, 11, 5] 
(-7, -4, 39), [12, 15, 1] 
(-5, -6, 37), [14, 13, 18] 
(-2, -9, 50), [17, 10, 12] 
(-2, -9, 51), [17, 10, 13] 
(-5, -6, 39), [14, 13, 1] 
(-5, -6, 40), [14, 13, 2] 
(-2, -9, 53), [17, 10, 15] 
(-3, -8, 47), [16, 11, 9] 
(-1, -10, 61), [18, 9, 4] 
(-5, -6, 41), [14, 13, 3] 
(-2, -9, 54), [17, 10, 16] 
(-5, -6, 42), [14, 13, 4] 
(-2, -9, 55), [17, 10, 17] 
(-3, -8, 49), [16, 11, 11] 
(-5, -6, 44), [14, 13, 6] 
(-3, -8, 51), [16, 11, 13] 
(-4, -7, 47), [15, 12, 9] 
(-5, -6, 45), [14, 13, 7] 
(-3, -8, 52), [16, 11, 14] 
(-4, -7, 49), [15, 12, 11] 
(-8, -2, -12), [11, 17, 7] 
(-8, -2, -11), [11, 17, 8] 
(-8, -2, -9), [11, 17, 10] 
(-8, -2, -8), [11, 17, 11] 
(-7, -3, -11), [12, 16, 8] 
(-7, -3, 5), [12, 16, 5] 
(-7, -3, 7), [12, 16, 7] 
(-7, -3, 9), [12, 16, 9] 
(-7, -3, 11), [12, 16, 11] 
(-7, -3, 13), [12, 16, 13] 
(-6, -4, 25), [13, 15, 6] 
(-6, -4, 27), [13, 15, 8] 
(-1, -9, 43), [18, 10, 5] 
(-1, -9, 45), [18, 10, 7] 
(-6, -4, 31), [13, 15, 12] 
(-1, -9, 47), [18, 10, 9] 
(-1, -9, 49), [18, 10, 11] 
(-5, -5, 35), [14, 14, 16] 
(-5, -5, 37), [14, 14, 18] 
(-2, -8, 47), [17, 11, 9] 
(-5, -5, 39), [14, 14, 1] 
(-2, -8, 49), [17, 11, 11] 
(-5, -5, 41), [14, 14, 3] 
(-2, -8, 51), [17, 11, 13] 
(-3, -7, 47), [16, 12, 9] 
(-5, -5, 43), [14, 14, 5] 
(-4, -6, 45), [15, 13, 7] 
(-3, -7, 49), [16, 12, 11] 
(-8, -1, -29), [11, 18, 9] 
(-8, -1, -21), [11, 18, 17] 
(-8, -1, -20), [11, 18, 18] 
(-8, -1, -17), [11, 18, 2] 
(-8, -1, -16), [11, 18, 3] 
(-8, -1, -15), [11, 18, 4] 
(-8, -1, -14), [11, 18, 5] 
(-7, -2, -17), [12, 17, 2] 
(-7, -2, -15), [12, 17, 4] 
(-7, -2, -13), [12, 17, 6] 
(-7, -2, -11), [12, 17, 8] 
(-7, -2, -9), [12, 17, 10] 
(-7, -2, -7), [12, 17, 12] 
(-7, -2, -5), [12, 17, 14] 
(-7, -2, -3), [12, 17, 16] 
(-7, -2, -1), [12, 17, 18] 
(5, -14, 85), [5, 5, 9] 
(-7, -2, 1), [12, 17, 1] 
(-7, -2, 2), [12, 17, 2] 
(-5, -4, -3), [14, 15, 16] 
(-7, -2, 4), [12, 17, 4] 
(-5, -4, -1), [14, 15, 18] 
(-7, -2, 5), [12, 17, 5] 
(-7, -2, 6), [12, 17, 6] 
(-5, -4, 1), [14, 15, 1] 
(-7, -2, 7), [12, 17, 7] 
(-5, -4, 3), [14, 15, 3] 
(-7, -2, 9), [12, 17, 9] 
(-5, -4, 5), [14, 15, 5] 
(-7, -2, 11), [12, 17, 11] 
(-5, -4, 7), [14, 15, 7] 
(-7, -2, 13), [12, 17, 13] 
(-5, -4, 9), [14, 15, 9] 
(-7, -2, 15), [12, 17, 15] 
(3, -12, 67), [3, 7, 10] 
(-5, -4, 11), [14, 15, 11] 
(-7, -2, 17), [12, 17, 17] 
(-3, -6, 15), [16, 13, 15] 
(3, -12, 69), [3, 7, 12] 
(-5, -4, 13), [14, 15, 13] 
(-3, -6, 17), [16, 13, 17] 
(3, -12, 71), [3, 7, 14] 
(-5, -4, 15), [14, 15, 15] 
(-7, -2, 21), [12, 17, 2] 
(-6, -3, 17), [13, 16, 17] 
(-6, -3, 18), [13, 16, 18] 
(-3, -6, 21), [16, 13, 2] 
(-7, -2, 25), [12, 17, 6] 
(-6, -3, 21), [13, 16, 2] 
(-6, -3, 22), [13, 16, 3] 
(-1, -8, 33), [18, 11, 14] 
(1, -10, 51), [1, 9, 13] 
(-3, -6, 23), [16, 13, 4] 
(-7, -2, 27), [12, 17, 8] 
(-5, -4, 21), [14, 15, 2] 
(-6, -3, 23), [13, 16, 4] 
(-1, -8, 35), [18, 11, 16] 
(1, -10, 53), [1, 9, 15] 
(-3, -6, 25), [16, 13, 6] 
(-7, -2, 29), [12, 17, 10] 
(-5, -4, 23), [14, 15, 4] 
(-1, -8, 37), [18, 11, 18] 
(1, -10, 55), [1, 9, 17] 
(-3, -6, 27), [16, 13, 8] 
(-7, -2, 31), [12, 17, 12] 
(-5, -4, 25), [14, 15, 6] 
(-1, -8, 39), [18, 11, 1] 
(-3, -6, 29), [16, 13, 10] 
(-7, -2, 33), [12, 17, 14] 
(-5, -4, 27), [14, 15, 8] 
(-1, -8, 41), [18, 11, 3] 
(-5, -4, 29), [14, 15, 10] 
(-1, -8, 42), [18, 11, 4] 
(-5, -4, 30), [14, 15, 11] 
(-1, -8, 43), [18, 11, 5] 
(-7, -2, 37), [12, 17, 18] 
(-3, -6, 33), [16, 13, 14] 
(1, -10, 61), [1, 9, 4] 
(-5, -4, 31), [14, 15, 12] 
