(-5, 1, 1), [3, 1, 1], 3.9.ae_f_n 
(-4, 0, -4), [0, 0, 0], 3.9.ae_f_q 
(-5, 1, 2), [3, 1, 2], 3.9.ae_g_i 
(-4, 0, -2), [0, 0, 2], 3.9.ae_h_i 
(-2, -2, -5), [2, 2, 3], 3.9.ae_i_aba 
(4, -8, 31), [0, 0, 3], 3.9.ae_i_au 
(-5, 1, 4), [3, 1, 0], 3.9.ae_i_ac 
(-2, -2, -4), [2, 2, 0], 3.9.ae_j_abc 
(4, -8, 32), [0, 0, 0], 3.9.ae_j_aq 
(-5, 1, 5), [3, 1, 1], 3.9.ae_j_ah 
(-2, -2, -2), [2, 2, 2], 3.9.ae_l_abg 
(-5, 1, 7), [3, 1, 3], 3.9.ae_l_ar 
(-2, -2, -1), [2, 2, 3], 3.9.ae_m_abi 
(-5, 1, 8), [3, 1, 0], 3.9.ae_m_aw 
(-1, -3, 1), [3, 1, 1], 3.9.ae_n_acd 
(-4, 0, 4), [0, 0, 0], 3.9.ae_n_aq 
(-1, -3, 2), [3, 1, 2], 3.9.ae_o_ace 
(-2, -2, 1), [2, 2, 1], 3.9.ae_o_abm 
(-5, 1, 10), [3, 1, 2], 3.9.ae_o_abg 
(-4, 0, 5), [0, 0, 1], 3.9.ae_o_au 
(-2, -2, 2), [2, 2, 2], 3.9.ae_p_abo 
(-5, 1, 11), [3, 1, 3], 3.9.ae_p_abl 
(2, -6, 19), [2, 2, 3], 3.9.ae_q_acs 
(-1, -3, 4), [3, 1, 0], 3.9.ae_q_acg 
(-4, 0, 7), [0, 0, 3], 3.9.ae_q_abc 
(2, -6, 20), [2, 2, 0], 3.9.ae_r_acq 
(-1, -3, 5), [3, 1, 1], 3.9.ae_r_ach 
(-5, 1, 13), [3, 1, 1], 3.9.ae_r_abv 
(-2, -2, 4), [2, 2, 0], 3.9.ae_r_abs 
(-4, 0, 8), [0, 0, 0], 3.9.ae_r_abg 
(1, -5, 14), [1, 3, 2], 3.9.ae_s_acy 
(-5, 1, 14), [3, 1, 2], 3.9.ae_s_aca 
(-2, -2, 5), [2, 2, 1], 3.9.ae_s_abu 
(2, -6, 22), [2, 2, 2], 3.9.ae_t_acm 
(-1, -3, 7), [3, 1, 3], 3.9.ae_t_acj 
(-4, 0, 10), [0, 0, 2], 3.9.ae_t_abo 
(1, -5, 16), [1, 3, 0], 3.9.ae_u_acw 
(-2, -2, 7), [2, 2, 3], 3.9.ae_u_aby 
(-4, 0, 11), [0, 0, 3], 3.9.ae_u_abs 
(1, -5, 17), [1, 3, 1], 3.9.ae_v_acv 
(-5, 1, 17), [3, 1, 1], 3.9.ae_v_acp 
(-2, -2, 8), [2, 2, 0], 3.9.ae_v_aca 
(-1, -3, 10), [3, 1, 2], 3.9.ae_w_acm 
(2, -6, 25), [2, 2, 1], 3.9.ae_w_acg 
(-4, 0, 13), [0, 0, 1], 3.9.ae_w_aca 
(1, -5, 19), [1, 3, 3], 3.9.ae_x_act 
(-1, -3, 11), [3, 1, 3], 3.9.ae_x_acn 
(1, -5, 20), [1, 3, 0], 3.9.ae_y_acs 
(-2, -2, 11), [2, 2, 3], 3.9.ae_y_acg 
(-1, -3, 13), [3, 1, 1], 3.9.ae_z_acp 
(-4, 0, 16), [0, 0, 0], 3.9.ae_z_acm 
(-2, -2, 13), [2, 2, 1], 3.9.ae_ba_ack 
(1, -5, 23), [1, 3, 3], 3.9.ae_bb_acp 
(-2, -2, 14), [2, 2, 2], 3.9.ae_bb_acm 
(-1, -3, 16), [3, 1, 0], 3.9.ae_bc_acs 
(-2, -2, 16), [2, 2, 0], 3.9.ae_bd_acq 
(-5, 2, -2), [3, 2, 2], 3.9.ad_ad_bu 
(-4, 1, -8), [0, 1, 0], 3.9.ad_ad_by 
(-4, 1, -7), [0, 1, 1], 3.9.ad_ac_bu 
(-2, -1, -11), [2, 3, 1], 3.9.ad_a_e 
(-2, -1, -10), [2, 3, 2], 3.9.ad_b_c 
(5, -8, 32), [1, 0, 0], 3.9.ad_b_q 
(-5, 2, 2), [3, 2, 2], 3.9.ad_b_ba 
(-2, -1, -8), [2, 3, 0], 3.9.ad_d_ac 
(-5, 2, 4), [3, 2, 0], 3.9.ad_d_q 
(-2, -1, -7), [2, 3, 1], 3.9.ad_e_ae 
(4, -7, 25), [0, 1, 1], 3.9.ad_g_aba 
(-2, -1, -5), [2, 3, 3], 3.9.ad_g_ai 
(-1, -2, -4), [3, 2, 0], 3.9.ad_h_abg 
(4, -7, 26), [0, 1, 2], 3.9.ad_h_aw 
(-2, -1, -4), [2, 3, 0], 3.9.ad_h_ak 
(-5, 2, 8), [3, 2, 0], 3.9.ad_h_ae 
(-4, 1, 2), [0, 1, 2], 3.9.ad_h_k 
(-1, -2, -2), [3, 2, 2], 3.9.ad_j_abi 
(-4, 1, 4), [0, 1, 0], 3.9.ad_j_c 
(-2, -1, -1), [2, 3, 3], 3.9.ad_k_aq 
(4, -7, 29), [0, 1, 1], 3.9.ad_k_ak 
(-4, 1, 5), [0, 1, 1], 3.9.ad_k_ac 
(2, -5, 13), [2, 3, 1], 3.9.ad_m_acm 
(-2, -1, 1), [2, 3, 1], 3.9.ad_m_au 
(-4, 1, 7), [0, 1, 3], 3.9.ad_m_ak 
(1, -4, 8), [1, 0, 0], 3.9.ad_n_acm 
(2, -5, 14), [2, 3, 2], 3.9.ad_n_ack 
(-1, -2, 2), [3, 2, 2], 3.9.ad_n_abm 
(-5, 2, 14), [3, 2, 2], 3.9.ad_n_abi 
(-2, -1, 2), [2, 3, 2], 3.9.ad_n_aw 
(-4, 1, 8), [0, 1, 0], 3.9.ad_n_ao 
(2, -5, 16), [2, 3, 0], 3.9.ad_p_acg 
(-5, 2, 16), [3, 2, 0], 3.9.ad_p_abs 
(-1, -2, 4), [3, 2, 0], 3.9.ad_p_abo 
(-2, -1, 4), [2, 3, 0], 3.9.ad_p_aba 
(-4, 1, 10), [0, 1, 2], 3.9.ad_p_aw 
(2, -5, 17), [2, 3, 1], 3.9.ad_q_ace 
(-2, -1, 5), [2, 3, 1], 3.9.ad_q_abc 
(-4, 1, 11), [0, 1, 3], 3.9.ad_q_aba 
(2, -5, 19), [2, 3, 3], 3.9.ad_s_aca 
(-4, 1, 13), [0, 1, 1], 3.9.ad_s_abi 
(-2, -1, 7), [2, 3, 3], 3.9.ad_s_abg 
(2, -5, 20), [2, 3, 0], 3.9.ad_t_aby 
(-1, -2, 8), [3, 2, 0], 3.9.ad_t_abs 
(-4, 1, 14), [0, 1, 2], 3.9.ad_t_abm 
(-2, -1, 8), [2, 3, 0], 3.9.ad_t_abi 
(-2, -1, 10), [2, 3, 2], 3.9.ad_v_abm 
(-4, 1, 17), [0, 1, 1], 3.9.ad_w_aby 
(2, -5, 23), [2, 3, 3], 3.9.ad_w_abs 
(-2, -1, 11), [2, 3, 3], 3.9.ad_w_abo 
(1, -4, 20), [1, 0, 0], 3.9.ad_z_aca 
(-1, -2, 14), [3, 2, 2], 3.9.ad_z_aby 
(-2, 0, -16), [2, 0, 0], 3.9.ac_ah_bg 
(-2, 0, -14), [2, 0, 2], 3.9.ac_af_bc 
(-2, 0, -13), [2, 0, 3], 3.9.ac_ae_ba 
(-5, 3, 2), [3, 3, 2], 3.9.ac_ae_bs 
(-4, 2, -4), [0, 2, 0], 3.9.ac_ad_ca 
(-2, 0, -11), [2, 0, 1], 3.9.ac_ac_w 
(-5, 3, 4), [3, 3, 0], 3.9.ac_ac_bi 
(-1, -1, -11), [3, 3, 1], 3.9.ac_ab_ah 
(5, -7, 25), [1, 1, 1], 3.9.ac_ab_ab 
(-2, 0, -10), [2, 0, 2], 3.9.ac_ab_u 
(-5, 3, 5), [3, 3, 1], 3.9.ac_ab_bd 
(-4, 2, -2), [0, 2, 2], 3.9.ac_ab_bs 
(-1, -1, -10), [3, 3, 2], 3.9.ac_a_ai 
(5, -7, 26), [1, 1, 2], 3.9.ac_a_e 
(-4, 2, -1), [0, 2, 3], 3.9.ac_a_bo 
(-2, 0, -8), [2, 0, 0], 3.9.ac_b_q 
(-5, 3, 7), [3, 3, 3], 3.9.ac_b_t 
(-1, -1, -8), [3, 3, 0], 3.9.ac_c_ak 
(-4, 2, 1), [0, 2, 1], 3.9.ac_c_bg 
(-1, -1, -7), [3, 3, 1], 3.9.ac_d_al 
(5, -7, 29), [1, 1, 1], 3.9.ac_d_t 
(-4, 2, 2), [0, 2, 2], 3.9.ac_d_bc 
(4, -6, 19), [0, 2, 3], 3.9.ac_e_abg 
(-5, 3, 10), [3, 3, 2], 3.9.ac_e_e 
(-2, 0, -5), [2, 0, 3], 3.9.ac_e_k 
(4, -6, 20), [0, 2, 0], 3.9.ac_f_abc 
(-1, -1, -5), [3, 3, 3], 3.9.ac_f_an 
(-5, 3, 11), [3, 3, 3], 3.9.ac_f_ab 
(-2, 0, -4), [2, 0, 0], 3.9.ac_f_i 
(-4, 2, 4), [0, 2, 0], 3.9.ac_f_u 
(-1, -1, -4), [3, 3, 0], 3.9.ac_g_ao 
(-4, 2, 5), [0, 2, 1], 3.9.ac_g_q 
(1, -3, 1), [1, 1, 1], 3.9.ac_h_acb 
(4, -6, 22), [0, 2, 2], 3.9.ac_h_au 
(-5, 3, 13), [3, 3, 1], 3.9.ac_h_al 
(-2, 0, -2), [2, 0, 2], 3.9.ac_h_e 
(1, -3, 2), [1, 1, 2], 3.9.ac_i_aca 
(-2, 0, -1), [2, 0, 3], 3.9.ac_i_c 
(-4, 2, 7), [0, 2, 3], 3.9.ac_i_i 
(-1, -1, -1), [3, 3, 3], 3.9.ac_j_ar 
(-4, 2, 8), [0, 2, 0], 3.9.ac_j_e 
(1, -3, 4), [1, 1, 0], 3.9.ac_k_aby 
(-5, 3, 16), [3, 3, 0], 3.9.ac_k_aba 
(4, -6, 25), [0, 2, 1], 3.9.ac_k_ai 
(-2, 0, 1), [2, 0, 1], 3.9.ac_k_ac 
(2, -4, 10), [2, 0, 2], 3.9.ac_l_aca 
(1, -3, 5), [1, 1, 1], 3.9.ac_l_abx 
(-5, 3, 17), [3, 3, 1], 3.9.ac_l_abf 
(-1, -1, 1), [3, 3, 1], 3.9.ac_l_at 
(2, -4, 11), [2, 0, 3], 3.9.ac_m_aby 
(-1, -1, 2), [3, 3, 2], 3.9.ac_m_au 
(-4, 2, 11), [0, 2, 3], 3.9.ac_m_ai 
(1, -3, 7), [1, 1, 3], 3.9.ac_n_abv 
(-5, 3, 19), [3, 3, 3], 3.9.ac_n_abp 
(-2, 0, 4), [2, 0, 0], 3.9.ac_n_ai 
(-1, -1, 4), [3, 3, 0], 3.9.ac_o_aw 
(-4, 2, 13), [0, 2, 1], 3.9.ac_o_aq 
(-2, 0, 5), [2, 0, 1], 3.9.ac_o_ak 
(2, -4, 14), [2, 0, 2], 3.9.ac_p_abs 
(-1, -1, 5), [3, 3, 1], 3.9.ac_p_ax 
(-4, 2, 14), [0, 2, 2], 3.9.ac_p_au 
(1, -3, 10), [1, 1, 2], 3.9.ac_q_abs 
(2, -4, 16), [2, 0, 0], 3.9.ac_r_abo 
(-4, 2, 16), [0, 2, 0], 3.9.ac_r_abc 
(-1, -1, 7), [3, 3, 3], 3.9.ac_r_az 
(-2, 0, 8), [2, 0, 0], 3.9.ac_r_aq 
(2, -4, 17), [2, 0, 1], 3.9.ac_s_abm 
(-4, 2, 17), [0, 2, 1], 3.9.ac_s_abg 
(-1, -1, 8), [3, 3, 0], 3.9.ac_s_aba 
(-2, 0, 10), [2, 0, 2], 3.9.ac_t_au 
(2, -4, 19), [2, 0, 3], 3.9.ac_u_abi 
(-1, -1, 10), [3, 3, 2], 3.9.ac_u_abc 
(-2, 0, 11), [2, 0, 3], 3.9.ac_u_aw 
(2, -4, 20), [2, 0, 0], 3.9.ac_v_abg 
(-1, -1, 11), [3, 3, 3], 3.9.ac_v_abd 
(1, -3, 16), [1, 1, 0], 3.9.ac_w_abm 
(-1, -1, 13), [3, 3, 1], 3.9.ac_x_abf 
(-1, -1, 14), [3, 3, 2], 3.9.ac_y_abg 
(1, -3, 19), [1, 1, 3], 3.9.ac_z_abj 
(-2, 0, 16), [2, 0, 0], 3.9.ac_z_abg 
(-1, 0, -14), [3, 0, 2], 3.9.ab_af_o 
(-2, 1, -11), [2, 1, 1], 3.9.ab_ae_bo 
(-2, 1, -10), [2, 1, 2], 3.9.ab_ad_bm 
(-4, 3, 1), [0, 3, 1], 3.9.ab_ac_by 
(5, -6, 20), [1, 2, 0], 3.9.ab_ab_ai 
(-1, 0, -10), [3, 0, 2], 3.9.ab_ab_k 
(-5, 4, 10), [3, 0, 2], 3.9.ab_ab_w 
(-2, 1, -8), [2, 1, 0], 3.9.ab_ab_bi 
(-4, 3, 2), [0, 3, 2], 3.9.ab_ab_bu 
(-2, 1, -7), [2, 1, 1], 3.9.ab_a_bg 
(5, -6, 22), [1, 2, 2], 3.9.ab_b_c 
(-1, 0, -8), [3, 0, 0], 3.9.ab_b_i 
(-4, 3, 4), [0, 3, 0], 3.9.ab_b_bm 
(4, -5, 13), [0, 3, 1], 3.9.ab_c_abm 
(-2, 1, -5), [2, 1, 3], 3.9.ab_c_bc 
(-4, 3, 5), [0, 3, 1], 3.9.ab_c_bi 
(1, -2, -4), [1, 2, 0], 3.9.ab_d_abo 
(4, -5, 14), [0, 3, 2], 3.9.ab_d_abi 
(-5, 4, 14), [3, 0, 2], 3.9.ab_d_c 
(-2, 1, -4), [2, 1, 0], 3.9.ab_d_ba 
(2, -3, 1), [2, 1, 1], 3.9.ab_e_aca 
(-4, 3, 7), [0, 3, 3], 3.9.ab_e_ba 
(2, -3, 2), [2, 1, 2], 3.9.ab_f_aby 
(1, -2, -2), [1, 2, 2], 3.9.ab_f_abm 
(4, -5, 16), [0, 3, 0], 3.9.ab_f_aba 
(-5, 4, 16), [3, 0, 0], 3.9.ab_f_ai 
(-1, 0, -4), [3, 0, 0], 3.9.ab_f_e 
(4, -5, 17), [0, 3, 1], 3.9.ab_g_aw 
