(-6, -9, 41), [2, 3, 1], 3.25.ap_eq_abau 
(-6, -9, 42), [2, 3, 2], 3.25.ap_er_abba 
(1, -16, 112), [1, 0, 0], 3.25.ap_er_abam 
(-9, -6, 42), [3, 2, 2], 3.25.ap_er_abac 
(-6, -9, 43), [2, 3, 3], 3.25.ap_es_abbg 
(-6, -9, 44), [2, 3, 0], 3.25.ap_et_abbm 
(-9, -6, 44), [3, 2, 0], 3.25.ap_et_abau 
(-7, -8, 42), [1, 0, 2], 3.25.ap_et_abas 
(-6, -9, 46), [2, 3, 2], 3.25.ap_ev_abby 
(-9, -6, 46), [3, 2, 2], 3.25.ap_ev_abbm 
(-7, -8, 44), [1, 0, 0], 3.25.ap_ev_abbg 
(-6, -9, 47), [2, 3, 3], 3.25.ap_ew_abce 
(-6, -9, 48), [2, 3, 0], 3.25.ap_ex_abck 
(-9, -6, 48), [3, 2, 0], 3.25.ap_ex_abce 
(-7, -8, 46), [1, 0, 2], 3.25.ap_ex_abbu 
(-8, -7, 46), [0, 1, 2], 3.25.ap_ex_abbq 
(-6, -9, 49), [2, 3, 1], 3.25.ap_ey_abcq 
(-8, -7, 47), [0, 1, 3], 3.25.ap_ey_abby 
(-7, -8, 48), [1, 0, 0], 3.25.ap_ez_abci 
(-8, -7, 48), [0, 1, 0], 3.25.ap_ez_abcg 
(-4, -11, 61), [0, 1, 1], 3.25.ap_fa_abeo 
(-6, -9, 51), [2, 3, 3], 3.25.ap_fa_abdc 
(-8, -7, 49), [0, 1, 1], 3.25.ap_fa_abco 
(-4, -11, 62), [0, 1, 2], 3.25.ap_fb_abes 
(-1, -14, 92), [3, 2, 0], 3.25.ap_fb_abem 
(-9, -6, 52), [3, 2, 0], 3.25.ap_fb_abdo 
(-6, -9, 52), [2, 3, 0], 3.25.ap_fb_abdi 
(-2, -13, 81), [2, 3, 1], 3.25.ap_fc_abfg 
(-4, -11, 63), [0, 1, 3], 3.25.ap_fc_abew 
(-6, -9, 53), [2, 3, 1], 3.25.ap_fc_abdo 
(-8, -7, 51), [0, 1, 3], 3.25.ap_fc_abde 
(-2, -13, 82), [2, 3, 2], 3.25.ap_fd_abfi 
(-4, -11, 64), [0, 1, 0], 3.25.ap_fd_abfa 
(-1, -14, 94), [3, 2, 2], 3.25.ap_fd_abeo 
(-9, -6, 54), [3, 2, 2], 3.25.ap_fd_abeg 
(-6, -9, 54), [2, 3, 2], 3.25.ap_fd_abdu 
(-8, -7, 52), [0, 1, 0], 3.25.ap_fd_abdm 
(-7, -8, 52), [1, 0, 0], 3.25.ap_fd_abdk 
(-8, -7, 53), [0, 1, 1], 3.25.ap_fe_abdu 
(-2, -13, 84), [2, 3, 0], 3.25.ap_ff_abfm 
(-4, -11, 66), [0, 1, 2], 3.25.ap_ff_abfi 
(-9, -6, 56), [3, 2, 0], 3.25.ap_ff_abey 
(-1, -14, 96), [3, 2, 0], 3.25.ap_ff_abeq 
(-6, -9, 56), [2, 3, 0], 3.25.ap_ff_abeg 
(-8, -7, 54), [0, 1, 2], 3.25.ap_ff_abec 
(-4, -11, 67), [0, 1, 3], 3.25.ap_fg_abfm 
(-6, -9, 57), [2, 3, 1], 3.25.ap_fg_abem 
(-4, -11, 69), [0, 1, 1], 3.25.ap_fi_abfu 
(-2, -13, 87), [2, 3, 3], 3.25.ap_fi_abfs 
(-8, -7, 57), [0, 1, 1], 3.25.ap_fi_abfa 
(-6, -9, 59), [2, 3, 3], 3.25.ap_fi_abey 
(-2, -13, 88), [2, 3, 0], 3.25.ap_fj_abfu 
(-8, -7, 58), [0, 1, 2], 3.25.ap_fj_abfi 
(-4, -11, 71), [0, 1, 3], 3.25.ap_fk_abgc 
(-2, -13, 89), [2, 3, 1], 3.25.ap_fk_abfw 
(-8, -7, 59), [0, 1, 3], 3.25.ap_fk_abfq 
(-6, -9, 61), [2, 3, 1], 3.25.ap_fk_abfk 
(-4, -11, 72), [0, 1, 0], 3.25.ap_fl_abgg 
(-6, -9, 62), [2, 3, 2], 3.25.ap_fl_abfq 
(-4, -11, 73), [0, 1, 1], 3.25.ap_fm_abgk 
(-8, -7, 61), [0, 1, 1], 3.25.ap_fm_abgg 
(-2, -13, 91), [2, 3, 3], 3.25.ap_fm_abga 
(-6, -9, 63), [2, 3, 3], 3.25.ap_fm_abfw 
(-7, -8, 64), [1, 0, 0], 3.25.ap_fp_abgq 
(-9, -5, 1), [3, 3, 1], 3.25.ao_ct_ajz 
(-9, -5, 2), [3, 3, 2], 3.25.ao_cu_aki 
(-9, -5, 3), [3, 3, 3], 3.25.ao_cv_akr 
(-9, -5, 4), [3, 3, 0], 3.25.ao_cw_ala 
(-9, -5, 6), [3, 3, 2], 3.25.ao_cy_als 
(-9, -5, 7), [3, 3, 3], 3.25.ao_cz_amb 
(-9, -5, 8), [3, 3, 0], 3.25.ao_da_amk 
(-9, -5, 9), [3, 3, 1], 3.25.ao_db_amt 
(-9, -5, 12), [3, 3, 0], 3.25.ao_de_anu 
(-8, -6, 11), [0, 2, 3], 3.25.ao_dg_aoy 
(-8, -6, 12), [0, 2, 0], 3.25.ao_dh_apg 
(-8, -6, 13), [0, 2, 1], 3.25.ao_di_apo 
(-9, -5, 16), [3, 3, 0], 3.25.ao_di_ape 
(-8, -6, 14), [0, 2, 2], 3.25.ao_dj_apw 
(-9, -5, 18), [3, 3, 2], 3.25.ao_dk_apw 
(-8, -6, 16), [0, 2, 0], 3.25.ao_dl_aqm 
(-8, -6, 17), [0, 2, 1], 3.25.ao_dm_aqu 
(-8, -6, 18), [0, 2, 2], 3.25.ao_dn_arc 
(-9, -5, 21), [3, 3, 1], 3.25.ao_dn_aqx 
(-8, -6, 19), [0, 2, 3], 3.25.ao_do_ark 
(-9, -5, 22), [3, 3, 2], 3.25.ao_do_arg 
(-9, -5, 23), [3, 3, 3], 3.25.ao_dp_arp 
(-8, -6, 21), [0, 2, 1], 3.25.ao_dq_asa 
(-9, -5, 24), [3, 3, 0], 3.25.ao_dq_ary 
(-7, -7, 21), [1, 1, 1], 3.25.ao_dr_atd 
(3, -17, 121), [3, 3, 1], 3.25.ao_dr_ast 
(-8, -6, 22), [0, 2, 2], 3.25.ao_dr_asi 
(-7, -7, 22), [1, 1, 2], 3.25.ao_ds_atk 
(-7, -7, 23), [1, 1, 3], 3.25.ao_dt_atr 
(-9, -5, 27), [3, 3, 3], 3.25.ao_dt_asz 
(-8, -6, 24), [0, 2, 0], 3.25.ao_dt_asy 
(-7, -7, 24), [1, 1, 0], 3.25.ao_du_aty 
(-9, -5, 28), [3, 3, 0], 3.25.ao_du_ati 
(-9, -5, 29), [3, 3, 1], 3.25.ao_dv_atr 
(-8, -6, 26), [0, 2, 2], 3.25.ao_dv_ato 
(-7, -7, 26), [1, 1, 2], 3.25.ao_dw_aum 
(-8, -6, 27), [0, 2, 3], 3.25.ao_dw_atw 
(-7, -7, 27), [1, 1, 3], 3.25.ao_dx_aut 
(-9, -5, 31), [3, 3, 3], 3.25.ao_dx_auj 
(-8, -6, 28), [0, 2, 0], 3.25.ao_dx_aue 
(-7, -7, 28), [1, 1, 0], 3.25.ao_dy_ava 
(-9, -5, 32), [3, 3, 0], 3.25.ao_dy_aus 
(-8, -6, 29), [0, 2, 1], 3.25.ao_dy_aum 
(-7, -7, 29), [1, 1, 1], 3.25.ao_dz_avh 
