(2, 0, 7), [2, 0, 7], 3.9.c_q_o 
(-1, 3, 11), [8, 3, 2], 3.9.c_r_br 
(-1, 3, 13), [8, 3, 4], 3.9.c_t_bp 
(2, 0, 13), [2, 0, 4], 3.9.c_w_ba 
(-1, 3, 17), [8, 3, 8], 3.9.c_x_bl 
(1, 1, 17), [1, 1, 8], 3.9.c_bb_bj 
(4, -1, -11), [4, 8, 7], 3.9.d_ag_ack 
(5, -2, -5), [5, 7, 4], 3.9.d_ag_acj 
(4, -1, -10), [4, 8, 8], 3.9.d_af_acg 
(5, -2, -4), [5, 7, 5], 3.9.d_af_ace 
(5, -2, -1), [5, 7, 8], 3.9.d_ac_abp 
(4, -1, -5), [4, 8, 4], 3.9.d_a_abm 
(5, -2, 1), [5, 7, 1], 3.9.d_a_abf 
(-5, 8, 31), [4, 8, 4], 3.9.d_a_al 
(4, -1, -4), [4, 8, 5], 3.9.d_b_abi 
(4, -1, -1), [4, 8, 8], 3.9.d_e_aw 
(5, -2, 5), [5, 7, 5], 3.9.d_e_al 
(4, -1, 1), [4, 8, 1], 3.9.d_g_ao 
(5, -2, 7), [5, 7, 7], 3.9.d_g_ab 
(1, 2, -5), [1, 2, 4], 3.9.d_g_bf 
(5, -2, 11), [5, 7, 2], 3.9.d_k_t 
(1, 2, -1), [1, 2, 8], 3.9.d_k_bj 
(5, -2, 13), [5, 7, 4], 3.9.d_m_bd 
(1, 2, 1), [1, 2, 1], 3.9.d_m_bl 
(-1, 4, 7), [8, 4, 7], 3.9.d_m_cn 
(-1, 4, 10), [8, 4, 1], 3.9.d_p_ck 
(1, 2, 5), [1, 2, 5], 3.9.d_q_bp 
(5, -2, 17), [5, 7, 8], 3.9.d_q_bx 
(-1, 4, 11), [8, 4, 2], 3.9.d_q_cj 
(1, 2, 7), [1, 2, 7], 3.9.d_s_br 
(-1, 4, 14), [8, 4, 5], 3.9.d_t_cg 
(-1, 4, 16), [8, 4, 7], 3.9.d_v_ce 
(1, 2, 11), [1, 2, 2], 3.9.d_w_bv 
(-1, 4, 17), [8, 4, 8], 3.9.d_w_cd 
(2, 1, 13), [2, 1, 4], 3.9.d_y_bs 
(1, 2, 13), [1, 2, 4], 3.9.d_y_bx 
(-1, 4, 19), [8, 4, 1], 3.9.d_y_cb 
(2, 1, 14), [2, 1, 5], 3.9.d_z_bu 
(1, 2, 16), [1, 2, 7], 3.9.d_bb_ca 
(2, 1, 17), [2, 1, 8], 3.9.d_bc_ca 
(1, 2, 17), [1, 2, 8], 3.9.d_bc_cb 
(4, 0, -17), [4, 0, 1], 3.9.e_ai_acq 
(5, -1, -11), [5, 8, 7], 3.9.e_ah_acv 
(4, 0, -16), [4, 0, 2], 3.9.e_ah_acm 
(5, -1, -10), [5, 8, 8], 3.9.e_ag_acq 
(5, -1, -7), [5, 8, 2], 3.9.e_ad_acb 
(5, -1, -5), [5, 8, 4], 3.9.e_ab_abr 
(4, 0, -1), [4, 0, 8], 3.9.e_i_ae 
(4, 0, 1), [4, 0, 1], 3.9.e_k_e 
(-1, 5, 13), [8, 5, 4], 3.9.e_r_cz 
(1, 3, 17), [1, 3, 8], 3.9.e_bd_ct 
(2, 2, 17), [2, 2, 8], 3.9.e_be_cs 
(1, 3, 19), [1, 3, 1], 3.9.e_bf_cv 
(5, 0, -17), [5, 0, 1], 3.9.f_ai_adh 
(5, 0, -16), [5, 0, 2], 3.9.f_ah_adc 
(5, 0, -13), [5, 0, 5], 3.9.f_ae_acn 
(5, 0, -11), [5, 0, 7], 3.9.f_ac_acd 
(5, 0, -10), [5, 0, 8], 3.9.f_ab_aby 
(5, 0, -8), [5, 0, 1], 3.9.f_b_abo 
(5, 0, -5), [5, 0, 4], 3.9.f_e_az 
(5, 0, -4), [5, 0, 5], 3.9.f_f_au 
(5, 0, -1), [5, 0, 8], 3.9.f_i_af 
(5, 0, 1), [5, 0, 1], 3.9.f_k_f 
(5, 0, 5), [5, 0, 5], 3.9.f_o_z 
(5, 0, 7), [5, 0, 7], 3.9.f_q_bj 
(4, 1, 4), [4, 1, 4], 3.9.f_r_bi 
(4, 1, 5), [4, 1, 5], 3.9.f_s_bm 
(4, 1, 7), [4, 1, 7], 3.9.f_u_bu 
(5, 0, 11), [5, 0, 2], 3.9.f_u_cd 
(1, 4, 7), [1, 4, 7], 3.9.f_u_db 
(4, 1, 8), [4, 1, 8], 3.9.f_v_by 
(5, 0, 13), [5, 0, 4], 3.9.f_w_cn 
(-1, 6, 19), [8, 6, 1], 3.9.f_w_dl 
(4, 1, 11), [4, 1, 2], 3.9.f_y_ck 
(1, 4, 11), [1, 4, 2], 3.9.f_y_df 
(-1, 6, 25), [8, 6, 7], 3.9.f_bc_df 
(1, 4, 17), [1, 4, 8], 3.9.f_be_dl 
(2, 3, 17), [2, 3, 8], 3.9.f_bg_dk 
(1, 4, 19), [1, 4, 1], 3.9.f_bg_dn 
(1, 4, 20), [1, 4, 2], 3.9.f_bh_do 
(2, 3, 19), [2, 3, 1], 3.9.f_bi_do 
