(-6, -6, 21), [2, 2, 1], 3.17.am_cw_ams 
(-7, -5, 22), [1, 3, 2], 3.17.am_cw_amm 
(-8, -4, 26), [0, 0, 2], 3.17.am_cx_ang 
(-6, -6, 22), [2, 2, 2], 3.17.am_cx_amy 
(-5, -7, 24), [3, 1, 0], 3.17.am_cy_anu 
(-8, -4, 27), [0, 0, 3], 3.17.am_cy_ano 
(-6, -6, 23), [2, 2, 3], 3.17.am_cy_ane 
(-7, -5, 24), [1, 3, 0], 3.17.am_cy_ana 
(-5, -7, 25), [3, 1, 1], 3.17.am_cz_anz 
(-8, -4, 28), [0, 0, 0], 3.17.am_cz_anw 
(-6, -6, 24), [2, 2, 0], 3.17.am_cz_ank 
(-7, -5, 25), [1, 3, 1], 3.17.am_cz_anh 
(-6, -6, 25), [2, 2, 1], 3.17.am_da_anq 
(-7, -5, 26), [1, 3, 2], 3.17.am_da_ano 
(-8, -4, 30), [0, 0, 2], 3.17.am_db_aom 
(-5, -7, 27), [3, 1, 3], 3.17.am_db_aoj 
(1, -13, 75), [1, 3, 3], 3.17.am_db_aod 
(-6, -6, 26), [2, 2, 2], 3.17.am_db_anw 
(-7, -5, 27), [1, 3, 3], 3.17.am_db_anv 
(-8, -4, 31), [0, 0, 3], 3.17.am_dc_aou 
(-5, -7, 28), [3, 1, 0], 3.17.am_dc_aoo 
(-4, -8, 32), [0, 0, 0], 3.17.am_dd_apk 
(-8, -4, 32), [0, 0, 0], 3.17.am_dd_apc 
(-5, -7, 29), [3, 1, 1], 3.17.am_dd_aot 
(-7, -5, 29), [1, 3, 1], 3.17.am_dd_aoj 
(-6, -6, 28), [2, 2, 0], 3.17.am_dd_aoi 
(-8, -4, 33), [0, 0, 1], 3.17.am_de_apk 
(-5, -7, 30), [3, 1, 2], 3.17.am_de_aoy 
(-7, -5, 30), [1, 3, 2], 3.17.am_de_aoq 
(-6, -6, 29), [2, 2, 1], 3.17.am_de_aoo 
(-5, -7, 31), [3, 1, 3], 3.17.am_df_apd 
(-7, -5, 31), [1, 3, 3], 3.17.am_df_aox 
(-6, -6, 30), [2, 2, 2], 3.17.am_df_aou 
(-8, -4, 35), [0, 0, 3], 3.17.am_dg_aqa 
(-4, -8, 35), [0, 0, 3], 3.17.am_dg_apw 
(-5, -7, 32), [3, 1, 0], 3.17.am_dg_api 
(-7, -5, 32), [1, 3, 0], 3.17.am_dg_ape 
(-6, -6, 31), [2, 2, 3], 3.17.am_dg_apa 
(-1, -11, 57), [3, 1, 1], 3.17.am_dh_aqp 
(-3, -9, 41), [1, 3, 1], 3.17.am_dh_aqn 
(-8, -4, 36), [0, 0, 0], 3.17.am_dh_aqi 
(-4, -8, 36), [0, 0, 0], 3.17.am_dh_aqa 
(-7, -5, 33), [1, 3, 1], 3.17.am_dh_apl 
(-6, -6, 32), [2, 2, 0], 3.17.am_dh_apg 
(-4, -8, 37), [0, 0, 1], 3.17.am_di_aqe 
(-3, -9, 43), [1, 3, 3], 3.17.am_dj_aqt 
(-1, -11, 59), [3, 1, 3], 3.17.am_dj_aqr 
(-4, -8, 38), [0, 0, 2], 3.17.am_dj_aqi 
(-7, -5, 35), [1, 3, 3], 3.17.am_dj_apz 
(-5, -7, 35), [3, 1, 3], 3.17.am_dj_apx 
(-3, -9, 44), [1, 3, 0], 3.17.am_dk_aqw 
(-1, -11, 60), [3, 1, 0], 3.17.am_dk_aqs 
(-7, -5, 36), [1, 3, 0], 3.17.am_dk_aqg 
(-5, -7, 36), [3, 1, 0], 3.17.am_dk_aqc 
(-2, -10, 52), [2, 2, 0], 3.17.am_dl_arc 
(-1, -11, 61), [3, 1, 1], 3.17.am_dl_aqt 
(-4, -8, 40), [0, 0, 0], 3.17.am_dl_aqq 
(-7, -5, 37), [1, 3, 1], 3.17.am_dl_aqn 
(-5, -7, 37), [3, 1, 1], 3.17.am_dl_aqh 
(-6, -6, 36), [2, 2, 0], 3.17.am_dl_aqe 
(-2, -10, 53), [2, 2, 1], 3.17.am_dm_are 
(-3, -9, 46), [1, 3, 2], 3.17.am_dm_arc 
(-5, -7, 38), [3, 1, 2], 3.17.am_dm_aqm 
(-6, -6, 37), [2, 2, 1], 3.17.am_dm_aqk 
(-2, -10, 54), [2, 2, 2], 3.17.am_dn_arg 
(-3, -9, 47), [1, 3, 3], 3.17.am_dn_arf 
(-7, -5, 39), [1, 3, 3], 3.17.am_dn_arb 
(-4, -8, 42), [0, 0, 2], 3.17.am_dn_aqy 
(-1, -11, 63), [3, 1, 3], 3.17.am_dn_aqv 
(-5, -7, 39), [3, 1, 3], 3.17.am_dn_aqr 
(-6, -6, 38), [2, 2, 2], 3.17.am_dn_aqq 
(-4, -8, 43), [0, 0, 3], 3.17.am_do_arc 
(-2, -10, 56), [2, 2, 0], 3.17.am_dp_ark 
(-4, -8, 44), [0, 0, 0], 3.17.am_dp_arg 
(-6, -6, 40), [2, 2, 0], 3.17.am_dp_arc 
(-3, -9, 50), [1, 3, 2], 3.17.am_dq_aro 
(-2, -10, 57), [2, 2, 1], 3.17.am_dq_arm 
(-4, -8, 45), [0, 0, 1], 3.17.am_dq_ark 
(-6, -6, 41), [2, 2, 1], 3.17.am_dq_ari 
(-5, -7, 42), [3, 1, 2], 3.17.am_dq_arg 
(-4, -8, 48), [0, 0, 0], 3.17.am_dt_arw 
(-8, -3, -2), [0, 1, 2], 3.17.al_bn_adi 
(-8, -3, -1), [0, 1, 3], 3.17.al_bo_adq 
(-8, -3, 1), [0, 1, 1], 3.17.al_bq_aeg 
(-8, -3, 2), [0, 1, 2], 3.17.al_br_aeo 
(-8, -3, 3), [0, 1, 3], 3.17.al_bs_aew 
(-8, -3, 4), [0, 1, 0], 3.17.al_bt_afe 
(-8, -3, 5), [0, 1, 1], 3.17.al_bu_afm 
(-8, -3, 7), [0, 1, 3], 3.17.al_bw_agc 
(-8, -3, 8), [0, 1, 0], 3.17.al_bx_agk 
(-7, -4, 4), [1, 0, 0], 3.17.al_bx_agi 
(-8, -3, 9), [0, 1, 1], 3.17.al_by_ags 
(-8, -3, 10), [0, 1, 2], 3.17.al_bz_aha 
(-7, -4, 6), [1, 0, 2], 3.17.al_bz_agw 
(-8, -3, 11), [0, 1, 3], 3.17.al_ca_ahi 
(-8, -3, 12), [0, 1, 0], 3.17.al_cb_ahq 
(-7, -4, 8), [1, 0, 0], 3.17.al_cb_ahk 
(-8, -3, 13), [0, 1, 1], 3.17.al_cc_ahy 
(-6, -5, 8), [2, 3, 0], 3.17.al_cd_aik 
(-8, -3, 14), [0, 1, 2], 3.17.al_cd_aig 
(-6, -5, 9), [2, 3, 1], 3.17.al_ce_aiq 
(-8, -3, 15), [0, 1, 3], 3.17.al_ce_aio 
(-6, -5, 11), [2, 3, 3], 3.17.al_cg_ajc 
(-8, -3, 18), [0, 1, 2], 3.17.al_ch_ajm 
(-6, -5, 12), [2, 3, 0], 3.17.al_ch_aji 
(-8, -3, 19), [0, 1, 3], 3.17.al_ci_aju 
(-6, -5, 13), [2, 3, 1], 3.17.al_ci_ajo 
(-8, -3, 20), [0, 1, 0], 3.17.al_cj_akc 
(-6, -5, 14), [2, 3, 2], 3.17.al_cj_aju 
(-8, -3, 21), [0, 1, 1], 3.17.al_ck_akk 
(-6, -5, 15), [2, 3, 3], 3.17.al_ck_aka 
(-5, -6, 16), [3, 2, 0], 3.17.al_cl_aky 
(-8, -3, 22), [0, 1, 2], 3.17.al_cl_aks 
(-6, -5, 16), [2, 3, 0], 3.17.al_cl_akg 
(-7, -4, 18), [1, 0, 2], 3.17.al_cl_akc 
(-8, -3, 23), [0, 1, 3], 3.17.al_cm_ala 
(-6, -5, 18), [2, 3, 2], 3.17.al_cn_aks 
(-7, -4, 20), [1, 0, 0], 3.17.al_cn_akq 
(-8, -3, 25), [0, 1, 1], 3.17.al_co_alq 
(2, -13, 75), [2, 3, 3], 3.17.al_co_alg 
(-6, -5, 19), [2, 3, 3], 3.17.al_co_aky 
(-8, -3, 26), [0, 1, 2], 3.17.al_cp_aly 
(-5, -6, 20), [3, 2, 0], 3.17.al_cp_als 
(-8, -3, 27), [0, 1, 3], 3.17.al_cq_amg 
(-6, -5, 21), [2, 3, 1], 3.17.al_cq_alk 
(-4, -7, 24), [0, 1, 0], 3.17.al_cr_amw 
(-8, -3, 28), [0, 1, 0], 3.17.al_cr_amo 
(-5, -6, 22), [3, 2, 2], 3.17.al_cr_amc 
(-7, -4, 24), [1, 0, 0], 3.17.al_cr_als 
(-6, -5, 22), [2, 3, 2], 3.17.al_cr_alq 
(-4, -7, 25), [0, 1, 1], 3.17.al_cs_ana 
(-8, -3, 29), [0, 1, 1], 3.17.al_cs_amw 
(-6, -5, 23), [2, 3, 3], 3.17.al_cs_alw 
(-5, -6, 24), [3, 2, 0], 3.17.al_ct_amm 
(-7, -4, 26), [1, 0, 2], 3.17.al_ct_amg 
(-6, -5, 24), [2, 3, 0], 3.17.al_ct_amc 
(-8, -3, 31), [0, 1, 3], 3.17.al_cu_anm 
(-4, -7, 27), [0, 1, 3], 3.17.al_cu_ani 
(-3, -8, 32), [1, 0, 0], 3.17.al_cv_aoe 
(-8, -3, 32), [0, 1, 0], 3.17.al_cv_anu 
(-4, -7, 28), [0, 1, 0], 3.17.al_cv_anm 
(-5, -6, 26), [3, 2, 2], 3.17.al_cv_amw 
(-7, -4, 28), [1, 0, 0], 3.17.al_cv_amu 
(-8, -3, 33), [0, 1, 1], 3.17.al_cw_aoc 
(-4, -7, 29), [0, 1, 1], 3.17.al_cw_anq 
(-4, -7, 30), [0, 1, 2], 3.17.al_cx_anu 
(-7, -4, 30), [1, 0, 2], 3.17.al_cx_ani 
(-5, -6, 28), [3, 2, 0], 3.17.al_cx_ang 
(-2, -9, 41), [2, 3, 1], 3.17.al_cy_aoy 
(-8, -3, 35), [0, 1, 3], 3.17.al_cy_aos 
(-4, -7, 31), [0, 1, 3], 3.17.al_cy_any 
(-3, -8, 36), [1, 0, 0], 3.17.al_cz_aoq 
(-4, -7, 32), [0, 1, 0], 3.17.al_cz_aoc 
(-7, -4, 32), [1, 0, 0], 3.17.al_cz_anw 
(-5, -6, 30), [3, 2, 2], 3.17.al_cz_anq 
(-2, -9, 43), [2, 3, 3], 3.17.al_da_apc 
(-4, -7, 33), [0, 1, 1], 3.17.al_da_aog 
(-1, -10, 52), [3, 2, 0], 3.17.al_db_apc 
(-3, -8, 38), [1, 0, 2], 3.17.al_db_aow 
(-6, -5, 32), [2, 3, 0], 3.17.al_db_any 
(-4, -7, 35), [0, 1, 3], 3.17.al_dc_aoo 
(-6, -5, 33), [2, 3, 1], 3.17.al_dc_aoe 
(-3, -8, 40), [1, 0, 0], 3.17.al_dd_apc 
(-7, -4, 36), [1, 0, 0], 3.17.al_dd_aoy 
(-4, -7, 36), [0, 1, 0], 3.17.al_dd_aos 
(-4, -7, 37), [0, 1, 1], 3.17.al_de_aow 
(-6, -5, 35), [2, 3, 3], 3.17.al_de_aoq 
(-3, -8, 42), [1, 0, 2], 3.17.al_df_api 
(-1, -10, 56), [3, 2, 0], 3.17.al_df_apg 
(-4, -7, 38), [0, 1, 2], 3.17.al_df_apa 
(-6, -5, 36), [2, 3, 0], 3.17.al_df_aow 
(-4, -7, 39), [0, 1, 3], 3.17.al_dg_ape 
(-6, -5, 37), [2, 3, 1], 3.17.al_dg_apc 
(-3, -8, 44), [1, 0, 0], 3.17.al_dh_apo 
(-6, -5, 39), [2, 3, 3], 3.17.al_di_apo 
(-4, -7, 41), [0, 1, 1], 3.17.al_di_apm 
(-4, -7, 42), [0, 1, 2], 3.17.al_dj_apq 
(-2, -9, 53), [2, 3, 1], 3.17.al_dk_apw 
(-8, -2, -12), [0, 2, 0], 3.17.ak_v_bc 
(-8, -2, -10), [0, 2, 2], 3.17.ak_x_m 
(-8, -2, -8), [0, 2, 0], 3.17.ak_z_ae 
(-8, -2, -7), [0, 2, 1], 3.17.ak_ba_am 
(-8, -2, -6), [0, 2, 2], 3.17.ak_bb_au 
(-8, -2, -5), [0, 2, 3], 3.17.ak_bc_abc 
(-7, -3, -9), [1, 1, 3], 3.17.ak_bd_abn 
(-8, -2, -4), [0, 2, 0], 3.17.ak_bd_abk 
(-7, -3, -8), [1, 1, 0], 3.17.ak_be_abu 
