(-4, -8, 37), [13, 9, 3], 3.17.am_di_aqe 
(-3, -9, 43), [14, 8, 9], 3.17.am_dj_aqt 
(-1, -11, 59), [16, 6, 8], 3.17.am_dj_aqr 
(-4, -8, 38), [13, 9, 4], 3.17.am_dj_aqi 
(-7, -5, 35), [10, 12, 1], 3.17.am_dj_apz 
(-5, -7, 35), [12, 10, 1], 3.17.am_dj_apx 
(-3, -9, 44), [14, 8, 10], 3.17.am_dk_aqw 
(-1, -11, 60), [16, 6, 9], 3.17.am_dk_aqs 
(-7, -5, 36), [10, 12, 2], 3.17.am_dk_aqg 
(-5, -7, 36), [12, 10, 2], 3.17.am_dk_aqc 
(-2, -10, 52), [15, 7, 1], 3.17.am_dl_arc 
(-1, -11, 61), [16, 6, 10], 3.17.am_dl_aqt 
(-4, -8, 40), [13, 9, 6], 3.17.am_dl_aqq 
(-7, -5, 37), [10, 12, 3], 3.17.am_dl_aqn 
(-5, -7, 37), [12, 10, 3], 3.17.am_dl_aqh 
(-6, -6, 36), [11, 11, 2], 3.17.am_dl_aqe 
(-2, -10, 53), [15, 7, 2], 3.17.am_dm_are 
(-3, -9, 46), [14, 8, 12], 3.17.am_dm_arc 
(-5, -7, 38), [12, 10, 4], 3.17.am_dm_aqm 
(-6, -6, 37), [11, 11, 3], 3.17.am_dm_aqk 
(-2, -10, 54), [15, 7, 3], 3.17.am_dn_arg 
(-3, -9, 47), [14, 8, 13], 3.17.am_dn_arf 
(-7, -5, 39), [10, 12, 5], 3.17.am_dn_arb 
(-4, -8, 42), [13, 9, 8], 3.17.am_dn_aqy 
(-1, -11, 63), [16, 6, 12], 3.17.am_dn_aqv 
(-5, -7, 39), [12, 10, 5], 3.17.am_dn_aqr 
(-6, -6, 38), [11, 11, 4], 3.17.am_dn_aqq 
(-4, -8, 43), [13, 9, 9], 3.17.am_do_arc 
(-2, -10, 56), [15, 7, 5], 3.17.am_dp_ark 
(-4, -8, 44), [13, 9, 10], 3.17.am_dp_arg 
(-6, -6, 40), [11, 11, 6], 3.17.am_dp_arc 
(-3, -9, 50), [14, 8, 16], 3.17.am_dq_aro 
(-2, -10, 57), [15, 7, 6], 3.17.am_dq_arm 
(-4, -8, 45), [13, 9, 11], 3.17.am_dq_ark 
(-6, -6, 41), [11, 11, 7], 3.17.am_dq_ari 
(-5, -7, 42), [12, 10, 8], 3.17.am_dq_arg 
(-4, -8, 48), [13, 9, 14], 3.17.am_dt_arw 
(-8, -3, -2), [9, 14, 15], 3.17.al_bn_adi 
(-8, -3, -1), [9, 14, 16], 3.17.al_bo_adq 
(-8, -3, 1), [9, 14, 1], 3.17.al_bq_aeg 
(-8, -3, 2), [9, 14, 2], 3.17.al_br_aeo 
(-8, -3, 3), [9, 14, 3], 3.17.al_bs_aew 
(-8, -3, 4), [9, 14, 4], 3.17.al_bt_afe 
(-8, -3, 5), [9, 14, 5], 3.17.al_bu_afm 
(-8, -3, 7), [9, 14, 7], 3.17.al_bw_agc 
(-8, -3, 8), [9, 14, 8], 3.17.al_bx_agk 
(-7, -4, 4), [10, 13, 4], 3.17.al_bx_agi 
(-8, -3, 9), [9, 14, 9], 3.17.al_by_ags 
(-8, -3, 10), [9, 14, 10], 3.17.al_bz_aha 
(-7, -4, 6), [10, 13, 6], 3.17.al_bz_agw 
(-8, -3, 11), [9, 14, 11], 3.17.al_ca_ahi 
(-8, -3, 12), [9, 14, 12], 3.17.al_cb_ahq 
(-7, -4, 8), [10, 13, 8], 3.17.al_cb_ahk 
(-8, -3, 13), [9, 14, 13], 3.17.al_cc_ahy 
(-6, -5, 8), [11, 12, 8], 3.17.al_cd_aik 
(-8, -3, 14), [9, 14, 14], 3.17.al_cd_aig 
(-6, -5, 9), [11, 12, 9], 3.17.al_ce_aiq 
(-8, -3, 15), [9, 14, 15], 3.17.al_ce_aio 
(-6, -5, 11), [11, 12, 11], 3.17.al_cg_ajc 
(-8, -3, 18), [9, 14, 1], 3.17.al_ch_ajm 
(-6, -5, 12), [11, 12, 12], 3.17.al_ch_aji 
(-8, -3, 19), [9, 14, 2], 3.17.al_ci_aju 
(-6, -5, 13), [11, 12, 13], 3.17.al_ci_ajo 
(-8, -3, 20), [9, 14, 3], 3.17.al_cj_akc 
(-6, -5, 14), [11, 12, 14], 3.17.al_cj_aju 
(-8, -3, 21), [9, 14, 4], 3.17.al_ck_akk 
(-6, -5, 15), [11, 12, 15], 3.17.al_ck_aka 
(-5, -6, 16), [12, 11, 16], 3.17.al_cl_aky 
(-8, -3, 22), [9, 14, 5], 3.17.al_cl_aks 
(-6, -5, 16), [11, 12, 16], 3.17.al_cl_akg 
(-7, -4, 18), [10, 13, 1], 3.17.al_cl_akc 
(-8, -3, 23), [9, 14, 6], 3.17.al_cm_ala 
(-6, -5, 18), [11, 12, 1], 3.17.al_cn_aks 
(-7, -4, 20), [10, 13, 3], 3.17.al_cn_akq 
(-8, -3, 25), [9, 14, 8], 3.17.al_co_alq 
(2, -13, 75), [2, 4, 7], 3.17.al_co_alg 
(-6, -5, 19), [11, 12, 2], 3.17.al_co_aky 
(-8, -3, 26), [9, 14, 9], 3.17.al_cp_aly 
(-5, -6, 20), [12, 11, 3], 3.17.al_cp_als 
(-8, -3, 27), [9, 14, 10], 3.17.al_cq_amg 
(-6, -5, 21), [11, 12, 4], 3.17.al_cq_alk 
(-4, -7, 24), [13, 10, 7], 3.17.al_cr_amw 
(-8, -3, 28), [9, 14, 11], 3.17.al_cr_amo 
(-5, -6, 22), [12, 11, 5], 3.17.al_cr_amc 
(-7, -4, 24), [10, 13, 7], 3.17.al_cr_als 
(-6, -5, 22), [11, 12, 5], 3.17.al_cr_alq 
(-4, -7, 25), [13, 10, 8], 3.17.al_cs_ana 
(-8, -3, 29), [9, 14, 12], 3.17.al_cs_amw 
(-6, -5, 23), [11, 12, 6], 3.17.al_cs_alw 
(-5, -6, 24), [12, 11, 7], 3.17.al_ct_amm 
(-7, -4, 26), [10, 13, 9], 3.17.al_ct_amg 
(-6, -5, 24), [11, 12, 7], 3.17.al_ct_amc 
(-8, -3, 31), [9, 14, 14], 3.17.al_cu_anm 
(-4, -7, 27), [13, 10, 10], 3.17.al_cu_ani 
(-3, -8, 32), [14, 9, 15], 3.17.al_cv_aoe 
(-8, -3, 32), [9, 14, 15], 3.17.al_cv_anu 
(-4, -7, 28), [13, 10, 11], 3.17.al_cv_anm 
(-5, -6, 26), [12, 11, 9], 3.17.al_cv_amw 
(-7, -4, 28), [10, 13, 11], 3.17.al_cv_amu 
(-8, -3, 33), [9, 14, 16], 3.17.al_cw_aoc 
(-4, -7, 29), [13, 10, 12], 3.17.al_cw_anq 
(-4, -7, 30), [13, 10, 13], 3.17.al_cx_anu 
(-7, -4, 30), [10, 13, 13], 3.17.al_cx_ani 
(-5, -6, 28), [12, 11, 11], 3.17.al_cx_ang 
(-2, -9, 41), [15, 8, 7], 3.17.al_cy_aoy 
(-8, -3, 35), [9, 14, 1], 3.17.al_cy_aos 
(-4, -7, 31), [13, 10, 14], 3.17.al_cy_any 
(-3, -8, 36), [14, 9, 2], 3.17.al_cz_aoq 
(-4, -7, 32), [13, 10, 15], 3.17.al_cz_aoc 
(-7, -4, 32), [10, 13, 15], 3.17.al_cz_anw 
(-5, -6, 30), [12, 11, 13], 3.17.al_cz_anq 
(-2, -9, 43), [15, 8, 9], 3.17.al_da_apc 
(-4, -7, 33), [13, 10, 16], 3.17.al_da_aog 
(-1, -10, 52), [16, 7, 1], 3.17.al_db_apc 
(-3, -8, 38), [14, 9, 4], 3.17.al_db_aow 
(-6, -5, 32), [11, 12, 15], 3.17.al_db_any 
(-4, -7, 35), [13, 10, 1], 3.17.al_dc_aoo 
(-6, -5, 33), [11, 12, 16], 3.17.al_dc_aoe 
(-3, -8, 40), [14, 9, 6], 3.17.al_dd_apc 
(-7, -4, 36), [10, 13, 2], 3.17.al_dd_aoy 
(-4, -7, 36), [13, 10, 2], 3.17.al_dd_aos 
(-4, -7, 37), [13, 10, 3], 3.17.al_de_aow 
(-6, -5, 35), [11, 12, 1], 3.17.al_de_aoq 
(-3, -8, 42), [14, 9, 8], 3.17.al_df_api 
(-1, -10, 56), [16, 7, 5], 3.17.al_df_apg 
(-4, -7, 38), [13, 10, 4], 3.17.al_df_apa 
(-6, -5, 36), [11, 12, 2], 3.17.al_df_aow 
(-4, -7, 39), [13, 10, 5], 3.17.al_dg_ape 
(-6, -5, 37), [11, 12, 3], 3.17.al_dg_apc 
(-3, -8, 44), [14, 9, 10], 3.17.al_dh_apo 
(-6, -5, 39), [11, 12, 5], 3.17.al_di_apo 
(-4, -7, 41), [13, 10, 7], 3.17.al_di_apm 
(-4, -7, 42), [13, 10, 8], 3.17.al_dj_apq 
(-2, -9, 53), [15, 8, 2], 3.17.al_dk_apw 
(-8, -2, -12), [9, 15, 5], 3.17.ak_v_bc 
(-8, -2, -10), [9, 15, 7], 3.17.ak_x_m 
(-8, -2, -8), [9, 15, 9], 3.17.ak_z_ae 
(-8, -2, -7), [9, 15, 10], 3.17.ak_ba_am 
(-8, -2, -6), [9, 15, 11], 3.17.ak_bb_au 
(-8, -2, -5), [9, 15, 12], 3.17.ak_bc_abc 
(-7, -3, -9), [10, 14, 8], 3.17.ak_bd_abn 
(-8, -2, -4), [9, 15, 13], 3.17.ak_bd_abk 
(-7, -3, -8), [10, 14, 9], 3.17.ak_be_abu 
(-8, -2, -3), [9, 15, 14], 3.17.ak_be_abs 
(-7, -3, -7), [10, 14, 10], 3.17.ak_bf_acb 
(-8, -2, -2), [9, 15, 15], 3.17.ak_bf_aca 
(-7, -3, -5), [10, 14, 12], 3.17.ak_bh_acp 
(-8, -2, 1), [9, 15, 1], 3.17.ak_bi_acy 
(-7, -3, -4), [10, 14, 13], 3.17.ak_bi_acw 
(-8, -2, 2), [9, 15, 2], 3.17.ak_bj_adg 
(-7, -3, -3), [10, 14, 14], 3.17.ak_bj_add 
(-8, -2, 3), [9, 15, 3], 3.17.ak_bk_ado 
(-7, -3, -2), [10, 14, 15], 3.17.ak_bk_adk 
(-8, -2, 4), [9, 15, 4], 3.17.ak_bl_adw 
(-7, -3, -1), [10, 14, 16], 3.17.ak_bl_adr 
(-8, -2, 5), [9, 15, 5], 3.17.ak_bm_aee 
(-8, -2, 6), [9, 15, 6], 3.17.ak_bn_aem 
(-7, -3, 1), [10, 14, 1], 3.17.ak_bn_aef 
(-6, -4, -1), [11, 13, 16], 3.17.ak_bo_afa 
(-8, -2, 7), [9, 15, 7], 3.17.ak_bo_aeu 
