(-4, -4, 27), [9, 9, 1], 3.13.ai_ce_aie 
(-3, -5, 29), [10, 8, 3], 3.13.ai_cf_aij 
(-2, -6, 33), [11, 7, 7], 3.13.ai_cg_aio 
(-3, -5, 31), [10, 8, 5], 3.13.ai_ch_aip 
(-7, 0, -25), [6, 0, 1], 3.13.ah_am_gt 
(-7, 0, -24), [6, 0, 2], 3.13.ah_al_gm 
(-7, 0, -22), [6, 0, 4], 3.13.ah_aj_fy 
(-7, 0, -21), [6, 0, 5], 3.13.ah_ai_fr 
(-7, 0, -20), [6, 0, 6], 3.13.ah_ah_fk 
(-7, 0, -19), [6, 0, 7], 3.13.ah_ag_fd 
(-7, 0, -17), [6, 0, 9], 3.13.ah_ae_ep 
(-7, 0, -16), [6, 0, 10], 3.13.ah_ad_ei 
(-7, 0, -15), [6, 0, 11], 3.13.ah_ac_eb 
(-7, 0, -14), [6, 0, 12], 3.13.ah_ab_du 
(-6, -1, -17), [7, 12, 9], 3.13.ah_c_cy 
(-7, 0, -11), [6, 0, 2], 3.13.ah_c_cz 
(-7, 0, -9), [6, 0, 4], 3.13.ah_e_cl 
(-7, 0, -7), [6, 0, 6], 3.13.ah_g_bx 
(-7, 0, -5), [6, 0, 8], 3.13.ah_i_bj 
(-7, 0, -3), [6, 0, 10], 3.13.ah_k_v 
(-6, -1, -8), [7, 12, 5], 3.13.ah_l_w 
(-5, -2, -11), [8, 11, 2], 3.13.ah_m_d 
(-7, 0, -1), [6, 0, 12], 3.13.ah_m_h 
(-6, -1, -7), [7, 12, 6], 3.13.ah_m_q 
(-6, -1, -6), [7, 12, 7], 3.13.ah_n_k 
(-6, -1, -5), [7, 12, 8], 3.13.ah_o_e 
(-7, 0, 3), [6, 0, 3], 3.13.ah_q_av 
(-5, -2, -7), [8, 11, 6], 3.13.ah_q_ar 
(-6, -1, -3), [7, 12, 10], 3.13.ah_q_ai 
(-6, -1, -2), [7, 12, 11], 3.13.ah_r_ao 
(-7, 0, 5), [6, 0, 5], 3.13.ah_s_abj 
(-5, -2, -5), [8, 11, 8], 3.13.ah_s_abb 
(-6, -1, -1), [7, 12, 12], 3.13.ah_s_au 
(-7, 0, 7), [6, 0, 7], 3.13.ah_u_abx 
(-5, -2, -3), [8, 11, 10], 3.13.ah_u_abl 
(-7, 0, 9), [6, 0, 9], 3.13.ah_w_acl 
(-5, -2, -1), [8, 11, 12], 3.13.ah_w_abv 
(-7, 0, 11), [6, 0, 11], 3.13.ah_y_acz 
(-5, -2, 1), [8, 11, 1], 3.13.ah_y_acf 
(-5, -2, 3), [8, 11, 3], 3.13.ah_ba_acp 
