(-7, -4, 12), [1, 0, 0], 3.17.al_cf_aim 
(-7, -4, 14), [1, 0, 2], 3.17.al_ch_aja 
(-7, -4, 15), [1, 0, 3], 3.17.al_ci_ajh 
(-7, -4, 16), [1, 0, 0], 3.17.al_cj_ajo 
(-7, -4, 19), [1, 0, 3], 3.17.al_cm_akj 
(-5, -6, 19), [3, 2, 3], 3.17.al_co_aln 
(-7, -4, 21), [1, 0, 1], 3.17.al_co_akx 
(-5, -6, 21), [3, 2, 1], 3.17.al_cq_alx 
(-7, -4, 23), [1, 0, 3], 3.17.al_cq_all 
(1, -12, 65), [1, 0, 1], 3.17.al_cs_anf 
(-5, -6, 23), [3, 2, 3], 3.17.al_cs_amh 
(-7, -4, 25), [1, 0, 1], 3.17.al_cs_alz 
(1, -12, 67), [1, 0, 3], 3.17.al_cu_and 
(-5, -6, 25), [3, 2, 1], 3.17.al_cu_amr 
(-7, -4, 27), [1, 0, 3], 3.17.al_cu_amn 
(-6, -5, 25), [2, 3, 1], 3.17.al_cu_ami 
(-6, -5, 26), [2, 3, 2], 3.17.al_cv_amo 
(-3, -8, 33), [1, 0, 1], 3.17.al_cw_aoh 
(-6, -5, 27), [2, 3, 3], 3.17.al_cw_amu 
(-1, -10, 49), [3, 2, 1], 3.17.al_cy_aoz 
(-3, -8, 35), [1, 0, 3], 3.17.al_cy_aon 
(-7, -4, 31), [1, 0, 3], 3.17.al_cy_anp 
(-5, -6, 29), [3, 2, 1], 3.17.al_cy_anl 
(-6, -5, 29), [2, 3, 1], 3.17.al_cy_ang 
(-6, -5, 30), [2, 3, 2], 3.17.al_cz_anm 
(-3, -8, 37), [1, 0, 1], 3.17.al_da_aot 
(-7, -4, 33), [1, 0, 1], 3.17.al_da_aod 
(-5, -6, 31), [3, 2, 3], 3.17.al_da_anv 
(-6, -5, 31), [2, 3, 3], 3.17.al_da_ans 
(-2, -9, 44), [2, 3, 0], 3.17.al_db_ape 
(-5, -6, 32), [3, 2, 0], 3.17.al_db_aoa 
(-2, -9, 45), [2, 3, 1], 3.17.al_dc_apg 
(-1, -10, 53), [3, 2, 1], 3.17.al_dc_apd 
(-3, -8, 39), [1, 0, 3], 3.17.al_dc_aoz 
(-7, -4, 35), [1, 0, 3], 3.17.al_dc_aor 
(-5, -6, 33), [3, 2, 1], 3.17.al_dc_aof 
(-2, -9, 46), [2, 3, 2], 3.17.al_dd_api 
(-1, -10, 54), [3, 2, 2], 3.17.al_dd_ape 
(-2, -9, 47), [2, 3, 3], 3.17.al_de_apk 
(-5, -6, 35), [3, 2, 3], 3.17.al_de_aop 
(-5, -6, 36), [3, 2, 0], 3.17.al_df_aou 
(-2, -9, 49), [2, 3, 1], 3.17.al_dg_apo 
(-3, -8, 43), [1, 0, 3], 3.17.al_dg_apl 
(-1, -10, 57), [3, 2, 1], 3.17.al_dg_aph 
(-5, -6, 37), [3, 2, 1], 3.17.al_dg_aoz 
(-2, -9, 50), [2, 3, 2], 3.17.al_dh_apq 
(-5, -6, 38), [3, 2, 2], 3.17.al_dh_ape 
(-3, -8, 45), [1, 0, 1], 3.17.al_di_apr 
