(-3, -7, 31), [1, 1, 3], 3.16.ak_cq_amf 
(-7, -3, 31), [1, 1, 3], 3.16.ak_cq_amb 
(-5, -5, 27), [3, 3, 3], 3.16.ak_cq_alj 
(-1, -9, 45), [3, 3, 1], 3.16.ak_cs_amv 
(-7, -3, 33), [1, 1, 1], 3.16.ak_cs_amp 
(-5, -5, 29), [3, 3, 1], 3.16.ak_cs_alt 
(-1, -9, 47), [3, 3, 3], 3.16.ak_cu_amx 
(-3, -7, 35), [1, 1, 3], 3.16.ak_cu_amr 
(-1, -9, 49), [3, 3, 1], 3.16.ak_cw_amz 
(-3, -7, 37), [1, 1, 1], 3.16.ak_cw_amx 
(-3, -7, 39), [1, 1, 3], 3.16.ak_cy_and 
(-1, -9, 51), [3, 3, 3], 3.16.ak_cy_anb 
(-5, -5, 35), [3, 3, 3], 3.16.ak_cy_amx 
(-3, -7, 41), [1, 1, 1], 3.16.ak_da_anj 
(-5, -5, 37), [3, 3, 1], 3.16.ak_da_anh 
(-7, -2, -15), [1, 2, 1], 3.16.aj_p_bp 
(-7, -2, -13), [1, 2, 3], 3.16.aj_r_bb 
(-7, -2, -11), [1, 2, 1], 3.16.aj_t_n 
(-7, -2, -9), [1, 2, 3], 3.16.aj_v_ab 
(-7, -2, -7), [1, 2, 1], 3.16.aj_x_ap 
(-7, -2, -5), [1, 2, 3], 3.16.aj_z_abd 
(-7, -2, -1), [1, 2, 3], 3.16.aj_bd_acf 
(-7, -2, 1), [1, 2, 1], 3.16.aj_bf_act 
(-7, -2, 3), [1, 2, 3], 3.16.aj_bh_adh 
(-7, -2, 5), [1, 2, 1], 3.16.aj_bj_adv 
(-5, -4, 1), [3, 0, 1], 3.16.aj_bl_afd 
(-7, -2, 7), [1, 2, 3], 3.16.aj_bl_aej 
(-5, -4, 3), [3, 0, 3], 3.16.aj_bn_afn 
(-7, -2, 9), [1, 2, 1], 3.16.aj_bn_aex 
(-5, -4, 5), [3, 0, 1], 3.16.aj_bp_afx 
(-7, -2, 11), [1, 2, 3], 3.16.aj_bp_afl 
(-5, -4, 7), [3, 0, 3], 3.16.aj_br_agh 
(-7, -2, 13), [1, 2, 1], 3.16.aj_br_afz 
(3, -12, 65), [3, 0, 1], 3.16.aj_bt_ahh 
(-5, -4, 9), [3, 0, 1], 3.16.aj_bt_agr 
(-7, -2, 15), [1, 2, 3], 3.16.aj_bt_agn 
(-7, -2, 19), [1, 2, 3], 3.16.aj_bx_ahp 
(-5, -4, 13), [3, 0, 1], 3.16.aj_bx_ahl 
(-3, -6, 17), [1, 2, 1], 3.16.aj_bz_ajj 
(-7, -2, 21), [1, 2, 1], 3.16.aj_bz_aid 
(-5, -4, 15), [3, 0, 3], 3.16.aj_bz_ahv 
(-3, -6, 19), [1, 2, 3], 3.16.aj_cb_ajp 
(-7, -2, 23), [1, 2, 3], 3.16.aj_cb_air 
(-5, -4, 17), [3, 0, 1], 3.16.aj_cb_aif 
(1, -10, 49), [1, 2, 1], 3.16.aj_cd_akl 
(-3, -6, 21), [1, 2, 1], 3.16.aj_cd_ajv 
(-7, -2, 25), [1, 2, 1], 3.16.aj_cd_ajf 
(-5, -4, 19), [3, 0, 3], 3.16.aj_cd_aip 
(-1, -8, 33), [3, 0, 1], 3.16.aj_cf_ald 
(1, -10, 51), [1, 2, 3], 3.16.aj_cf_akj 
(-3, -6, 23), [1, 2, 3], 3.16.aj_cf_akb 
(-7, -2, 27), [1, 2, 3], 3.16.aj_cf_ajt 
(-5, -4, 21), [3, 0, 1], 3.16.aj_cf_aiz 
(-1, -8, 35), [3, 0, 3], 3.16.aj_ch_alf 
(-5, -4, 23), [3, 0, 3], 3.16.aj_ch_ajj 
(-1, -8, 37), [3, 0, 1], 3.16.aj_cj_alh 
(-7, -2, 31), [1, 2, 3], 3.16.aj_cj_akv 
(-3, -6, 27), [1, 2, 3], 3.16.aj_cj_akn 
(1, -10, 55), [1, 2, 3], 3.16.aj_cj_akf 
(-5, -4, 25), [3, 0, 1], 3.16.aj_cj_ajt 
(-3, -6, 29), [1, 2, 1], 3.16.aj_cl_akt 
(-1, -8, 41), [3, 0, 1], 3.16.aj_cn_all 
(-3, -6, 31), [1, 2, 3], 3.16.aj_cn_akz 
(-5, -4, 29), [3, 0, 1], 3.16.aj_cn_akn 
(-1, -8, 43), [3, 0, 3], 3.16.aj_cp_aln 
(-3, -6, 33), [1, 2, 1], 3.16.aj_cp_alf 
(-5, -4, 31), [3, 0, 3], 3.16.aj_cp_akx 
(-1, -8, 45), [3, 0, 1], 3.16.aj_cr_alp 
(-3, -6, 35), [1, 2, 3], 3.16.aj_cr_all 
(-5, -4, 33), [3, 0, 1], 3.16.aj_cr_alh 
(-3, -6, 39), [1, 2, 3], 3.16.aj_cv_alx 
(-7, -1, -21), [1, 3, 3], 3.16.ai_c_el 
(-7, -1, -19), [1, 3, 1], 3.16.ai_e_dx 
(-7, -1, -17), [1, 3, 3], 3.16.ai_g_dj 
