(-1, -1, 29), (3, 3, 1)
(-1, -1, 31), (3, 3, 3)
(-1, 0, -31), (3, 0, 1)
(3, -3, 13), (3, 1, 1)
(-3, 3, 13), (1, 3, 1)
(3, -3, 15), (3, 1, 3)
(-3, 3, 15), (1, 3, 3)
(1, -1, 29), (1, 3, 1)
(-1, 1, 29), (3, 1, 1)
(1, -1, 31), (1, 3, 3)
(-1, 1, 31), (3, 1, 3)
(1, 0, -31), (1, 0, 1)
(5, -3, -7), (1, 1, 1)
(-3, 5, 9), (1, 1, 1)
(-3, 5, 11), (1, 1, 3)
(-3, 5, 13), (1, 1, 1)
(3, -1, 19), (3, 3, 3)
(3, -1, 21), (3, 3, 1)
(3, -1, 25), (3, 3, 1)
(-1, 3, 27), (3, 3, 3)
(-1, 3, 29), (3, 3, 1)
(1, 1, 29), (1, 1, 1)
(-1, 3, 33), (3, 3, 1)
(1, 1, 31), (1, 1, 3)
(3, 0, -31), (3, 0, 1)
(5, -2, -5), (1, 2, 3)
(5, -2, -1), (1, 2, 3)
(3, 0, 25), (3, 0, 1)
(7, -3, -7), (3, 1, 1)
(5, -1, 1), (1, 3, 1)
(5, -1, 3), (1, 3, 3)
(-1, 5, 25), (3, 1, 1)
(-1, 5, 27), (3, 1, 3)
(3, 1, 25), (3, 1, 1)
(3, 1, 27), (3, 1, 3)
(1, 3, 33), (1, 3, 1)
(5, 0, -31), (1, 0, 1)
(1, 4, 33), (1, 0, 1)
(7, -1, -23), (3, 3, 1)
(5, 1, 11), (1, 1, 3)
(5, 1, 13), (1, 1, 1)
(-1, 7, 25), (3, 3, 1)
(5, 1, 15), (1, 1, 3)
(-1, 7, 35), (3, 3, 3)
(3, 3, 29), (3, 3, 1)
(1, 5, 33), (1, 1, 1)
(3, 3, 31), (3, 3, 3)
(1, 5, 35), (1, 1, 3)
(3, 3, 33), (3, 3, 1)
(1, 5, 37), (1, 1, 1)
(7, 0, -31), (3, 0, 1)
(7, 0, -19), (3, 0, 1)
(7, 1, -23), (3, 1, 1)
(7, 1, -13), (3, 1, 3)
(7, 1, -11), (3, 1, 1)
(7, 1, -9), (3, 1, 3)
(5, 3, 21), (1, 3, 1)
(5, 3, 23), (1, 3, 3)
(1, 7, 35), (1, 3, 3)
(1, 7, 37), (1, 3, 1)
(3, 5, 31), (3, 1, 3)
(1, 7, 39), (1, 3, 3)
(1, 7, 41), (1, 3, 1)
(3, 5, 37), (3, 1, 1)
(7, 3, -1), (3, 3, 3)
(7, 3, 1), (3, 3, 1)
(7, 3, 3), (3, 3, 3)
(7, 3, 5), (3, 3, 1)
(1, 9, 41), (1, 1, 1)
(3, 7, 33), (3, 3, 1)
(5, 5, 31), (1, 1, 3)
(5, 5, 33), (1, 1, 1)
(3, 7, 43), (3, 3, 3)
(7, 4, 13), (3, 0, 1)
(7, 5, 11), (3, 1, 3)
(7, 5, 17), (3, 1, 1)
(7, 5, 19), (3, 1, 3)
(7, 5, 21), (3, 1, 1)
(7, 5, 23), (3, 1, 3)
